owner,total_races,wins,win_pct,avg_start,best_start,worst_start,avg_finish,best_finish,worst_finish,avg_laps_led,total_laps_led,most_laps_led,avg_points,avg_playoff_pts,total_money,avg_money,max_race_money,min_race_money
Jerry Glanville,28,0,0.0,26.07,9,34,22.71,14,36,0.0,0,0,94.86,,112940,4034,8350,1225
Jerry Gunderman,3,0,0.0,18.33,14,22,18.67,14,23,0.0,0,0,107.0,,17525,5842,5975,5625
Jerry Hill,4,0,0.0,31.5,24,36,22.75,17,27,0.0,0,0,94.75,,37710,9428,12090,6290
Jerry Lawrence,2,0,0.0,30.5,27,34,32.5,32,33,0.0,0,0,65.5,,11750,5875,6550,5200
Jerry Miller,5,0,0.0,32.8,30,36,31.6,23,36,0.0,0,0,68.2,,44535,8907,10115,7790
Jerry Mueller,3,0,0.0,28.67,25,32,24.0,20,27,0.0,0,0,91.0,,19070,6357,7925,5545
Jerry Reary,2,0,0.0,35.0,34,36,30.0,29,31,0.0,0,0,73.0,,17615,8808,9255,8360
Jerry Spilsbury,2,0,0.0,30.5,30,31,27.0,21,33,0.0,0,0,82.0,,14330,7165,7315,7015
Jerry Wharton,25,0,0.0,17.44,3,31,23.28,5,36,2.12,53,21,93.44,,166090,6644,13475,4140
Jesse Little,2,0,0.0,12.5,12,13,19.0,18,20,0.0,0,0,14.0,,0,,,
Jim Clark,13,0,0.0,20.08,3,37,20.54,4,35,0.08,1,1,102.31,,100290,7715,13450,4825
Jim Collier,1,0,0.0,30.0,30,30,28.0,28,28,0.0,0,0,79.0,,5340,5340,5340,5340
Jim Dean,2,0,0.0,24.0,18,30,24.5,15,34,0.0,0,0,89.5,,14730,7365,8290,6440
Jim Herrick,136,3,0.02206,15.47,1,37,15.52,1,40,3.1,421,81,119.13,,1229300,9039,58950,1900
Jim Inglebright,17,0,0.0,16.88,6,34,19.59,8,31,0.0,0,0,104.41,,143115,8419,12490,6915
Jim Mattei,1,0,0.0,21.0,21,21,35.0,35,35,0.0,0,0,58.0,,7785,7785,7785,7785
Jim Mills,3,0,0.0,34.67,34,35,31.67,24,36,0.0,0,0,48.67,,16595,5532,6190,5165
Jim Rosenblum,72,0,0.0,29.06,15,40,24.76,8,39,0.04,3,2,51.36,0.0,361665,7381,16798,2100
Jim Smith,421,36,0.08551,10.14,1,37,11.61,1,37,18.18,7653,207,135.36,,6911033,16416,80099,1200
Jim Spicuzza,19,0,0.0,20.79,9,35,16.68,7,32,0.0,0,0,113.58,,60075,3162,5750,1900
Jim Venable,44,0,0.0,18.18,2,33,15.07,4,33,1.27,56,56,119.11,,220450,5010,12450,1425
Jimmy Davis,1,0,0.0,32.0,32,32,33.0,33,33,0.0,0,0,64.0,,3100,3100,3100,3100
Jimmy Dick,16,0,0.0,27.69,19,36,22.81,16,30,0.0,0,0,74.13,,123335,7708,11350,1750
Jimmy Spencer,1,0,0.0,3.0,3,3,15.0,15,15,14.0,14,14,123.0,,8420,8420,8420,8420
Jody McCormick,1,0,0.0,28.0,28,28,32.0,32,32,0.0,0,0,67.0,,7025,7025,7025,7025
Joe Ambrose,3,0,0.0,29.67,24,36,29.0,21,35,0.0,0,0,76.0,,16250,5417,6175,4825
Joe Bessey,2,0,0.0,8.5,4,13,22.0,6,38,0.0,0,0,99.5,,8125,4063,6475,1650
Joe Dennette,58,0,0.0,16.55,1,34,17.71,2,33,2.9,168,53,24.74,,642010,11069,21965,6000
Joe Gaita,5,0,0.0,26.4,14,32,29.0,21,36,0.0,0,0,76.0,,29300,5860,8785,4715
Joe Gibbs,65,0,0.0,19.11,2,33,16.51,2,36,1.58,103,53,115.85,,713785,10981,41525,5215
Joe Horner,13,0,0.0,18.54,3,39,26.15,13,35,0.0,0,0,84.54,,81355,6258,12525,3150
Joe Jenkins III,1,0,0.0,31.0,31,31,29.0,29,29,0.0,0,0,76.0,,5425,5425,5425,5425
Joe Madore,2,0,0.0,28.5,25,32,22.0,19,25,0.0,0,0,97.0,,8125,4063,4375,3750
Joe Nemechek,214,7,0.03271,16.21,1,38,17.18,1,37,3.22,689,104,29.04,0.09,957468,13678,46978,1475
Joe Scott,50,1,0.02,15.56,2,35,15.0,1,35,1.72,86,29,121.88,,799553,15991,63175,7985
Joey Arrington,18,0,0.0,22.28,16,34,18.22,10,33,0.17,3,3,25.83,,195950,10886,15350,7125
Joey Cefalia,5,0,0.0,30.8,25,35,28.6,25,31,0.0,0,0,15.4,,40120,8024,10300,7210
Joey Sonntag,84,0,0.0,25.81,5,36,25.56,9,36,0.35,29,14,81.57,,680575,8102,13490,4690
John Bailey,2,0,0.0,24.0,15,33,23.0,22,24,0.0,0,0,94.0,,12805,6403,7215,5590
