Season,Race,Site,Track,Track_length,Track_type,Pos,St,#,Driver,Sponsor / Owner,Truck,Laps,Status,Led,Pts
2016,2,Atlanta,Atlanta Motor Speedway,1.54,paved track,21.0,30.0,49.0,Timmy Hill,Dirt and Rock (Jay Robinson),Chevrolet,127.0,running,0.0,12.0
2016,2,Atlanta,Atlanta Motor Speedway,1.54,paved track,22.0,14.0,32.0,Justin Marks,Katerra (Todd Braun),Toyota,127.0,running,0.0,0.0
2016,2,Atlanta,Atlanta Motor Speedway,1.54,paved track,23.0,29.0,1.0,Travis Kvapil,CorvetteParts.net (Jennifer Jo Cobb),Chevrolet,127.0,running,0.0,10.0
2016,2,Atlanta,Atlanta Motor Speedway,1.54,paved track,24.0,26.0,7.0,J.J. Yeley,SS-Green Light Racing (Bobby Dotter),Chevrolet,125.0,running,0.0,0.0
2016,2,Atlanta,Atlanta Motor Speedway,1.54,paved track,25.0,28.0,44.0,Tommy Joe Martins,Diamond Gusset Jeans (Craig Martins),Chevrolet,125.0,running,0.0,8.0
2016,2,Atlanta,Atlanta Motor Speedway,1.54,paved track,26.0,3.0,4.0,Christopher Bell,JBL.com (Kyle Busch),Toyota,122.0,crash,42.0,8.0
2016,2,Atlanta,Atlanta Motor Speedway,1.54,paved track,27.0,31.0,71.0,Carlos Contreras,RaceTrac Convenience Stores (Carlos Contreras),Chevrolet,122.0,running,0.0,6.0
2016,2,Atlanta,Atlanta Motor Speedway,1.54,paved track,28.0,16.0,21.0,Johnny Sauter,"Allegiant Travel ""Back in a Bowtie"" (Maury Gallagher)",Chevrolet,121.0,running,0.0,5.0
2016,2,Atlanta,Atlanta Motor Speedway,1.54,paved track,29.0,32.0,10.0,Jennifer Jo Cobb,Driven2Honor.org / Westside Vapor Station (Jennifer Jo Cobb),Chevrolet,120.0,running,0.0,4.0
2016,2,Atlanta,Atlanta Motor Speedway,1.54,paved track,30.0,1.0,88.0,Matt Crafton,Hormel Black Label Bacon / Menards (Duke Thorson),Toyota,111.0,crash,76.0,5.0
2016,2,Atlanta,Atlanta Motor Speedway,1.54,paved track,31.0,13.0,51.0,Daniel Suarez,Arris (Kyle Busch),Toyota,111.0,crash,0.0,0.0
