driver,total_races,wins,win_pct,avg_start,best_start,worst_start,avg_finish,best_finish,worst_finish,avg_laps_led,total_laps_led,most_laps_led,avg_points,avg_playoff_pts,total_money,avg_money,max_race_money,min_race_money
Alex Guenette,7,0,0.0,30.86,18,38,28.71,15,38,0.0,0,0,10.86,0.0,0,,,
Alex Kennedy,16,0,0.0,24.44,15,42,26.5,15,40,0.31,5,5,41.13,,313443,20896,32323,11725
Alex Labbe,154,0,0.0,21.25,4,37,20.64,4,40,0.18,28,19,17.03,0.0,0,,,
Alex Popow,1,0,0.0,17.0,17,17,38.0,38,38,0.0,0,0,6.0,,16424,16424,16424,16424
Alex Tagliani,8,0,0.0,9.0,1,41,13.0,2,38,11.5,92,38,45.13,,276963,39566,54975,24825
Allan Powell,29,0,0.0,23.19,7,40,21.66,6,40,0.03,1,1,95.45,,24960,861,3630,200
Allen Applegate,10,0,0.0,22.86,16,26,18.4,11,26,0.0,0,0,107.8,,3635,364,700,260
Alli Owens,1,0,0.0,38.0,38,38,36.0,36,36,0.0,0,0,5.0,,0,,,
Alon Day,2,0,0.0,31.0,22,40,21.5,13,30,0.0,0,0,19.5,,0,,,
Alx Danielsson,1,0,0.0,31.0,31,31,37.0,37,37,0.0,0,0,7.0,,11635,11635,11635,11635
Amber Cope,2,0,0.0,42.5,42,43,29.0,26,32,0.0,0,0,9.0,,29593,14797,17108,12485
Andre Castro,3,0,0.0,28.67,28,30,32.0,23,37,0.0,0,0,5.33,0.0,0,,,
Andrew Ranger,17,0,0.0,21.0,9,39,26.59,3,41,0.65,11,10,47.56,,378536,22267,63643,9900
Andy Belmont,5,0,0.0,37.4,33,43,31.4,21,42,0.0,0,0,68.8,,28095,5619,16460,1165
Andy Hillenburg,9,0,0.0,31.56,13,43,24.78,3,43,0.0,0,0,89.89,,98335,10926,44825,1425
Andy Houston,7,0,0.0,26.14,7,37,21.0,9,36,0.71,5,5,101.0,,112845,16121,39425,3295
Andy Kirby,28,0,0.0,33.07,5,41,31.43,6,42,0.0,0,0,68.89,,353105,12611,29400,6050
Andy Lally,23,0,0.0,18.09,6,33,16.78,5,37,0.57,13,7,34.04,0.0,158634,26439,34270,21550
Andy Petree,5,0,0.0,22.8,18,27,24.2,16,36,0.0,0,0,71.0,,4035,807,2130,360
Andy Pilgrim,2,0,0.0,19.0,14,24,15.0,15,15,0.0,0,0,118.0,,54000,27000,35700,18300
Andy Ponstein,26,0,0.0,33.54,16,43,34.73,21,42,0.0,0,0,55.38,,423585,16292,23375,11240
Andy Santerre,68,1,0.01471,24.28,1,43,23.63,1,43,1.35,92,72,92.96,,808386,11888,66575,2700
Angela Ruch,14,0,0.0,37.64,34,42,32.79,25,43,0.0,0,0,7.93,0.0,99484,14212,21178,9060
Anthony Alfredo,99,0,0.0,20.21,1,38,19.17,3,38,0.61,60,18,19.55,0.0,0,,,
Anthony Gandon,2,0,0.0,36.5,34,39,30.0,28,32,0.0,0,0,14.0,,29645,14823,18720,10925
Anthony Kumpen,6,0,0.0,31.83,29,35,23.83,16,28,0.0,0,0,17.33,0.0,67014,22338,27523,18298
Anthony Lazzaro,11,0,0.0,26.64,5,43,29.91,16,43,0.0,0,0,73.27,,103915,9447,16950,6600
Antonio Perez,7,0,0.0,23.29,8,40,34.0,13,42,0.0,0,0,49.57,,188126,26875,41190,15135
Aric Almirola,109,5,0.04587,14.21,1,43,15.1,1,43,5.81,633,148,50.5,0.57,2147047,25259,66823,12565
Ashton Lewis,226,0,0.0,22.55,1,42,21.36,2,43,0.63,143,44,99.97,,4716930,20871,53965,1675
Auggie Vidovich,21,0,0.0,27.24,11,42,28.57,15,43,0.14,3,3,77.52,,528842,25183,33660,16750
Austin Cameron,3,0,0.0,40.0,38,42,38.33,35,42,0.0,0,0,48.0,,37925,12642,16390,8435
Austin Cindric,133,13,0.09774,6.61,1,31,10.71,1,40,18.37,2443,151,35.53,0.69,0,,,
Austin Dillon,154,9,0.05844,8.55,1,42,9.82,1,38,12.04,1854,207,20.1,0.0,3433774,35039,100011,13735
Austin Green,3,0,0.0,24.33,22,26,8.67,4,15,0.0,0,0,28.33,0.0,0,,,
Austin Hill,95,8,0.08421,11.32,1,40,11.77,1,37,8.45,803,103,29.52,0.52,0,,,
Austin Theriault,6,0,0.0,25.67,15,40,24.5,15,37,0.0,0,0,13.0,,58945,19648,22825,17725
B.J. McLeod,171,0,0.0,28.01,12,40,25.88,11,40,0.01,2,1,11.34,0.0,215196,19563,30042,14397
Babe Branscombe,2,0,0.0,40.5,36,45,42.0,40,44,0.0,0,0,37.0,,6350,3175,3350,3000
Barney McRae,6,0,0.0,37.83,30,44,26.5,22,32,0.0,0,0,83.5,,17899,2983,4650,1185
Barry Beggarly,6,0,0.0,20.4,14,25,22.33,15,37,0.0,0,0,59.17,,2160,360,580,230
Barry Bodine,4,0,0.0,35.5,29,39,24.25,12,31,0.25,1,1,91.5,,42100,10525,13050,6220
Barry Bostick,8,0,0.0,27.88,14,39,27.25,15,41,0.0,0,0,81.25,,13455,1682,2660,540
Bayley Currey,111,0,0.0,28.29,13,40,26.89,7,40,0.25,28,12,4.81,0.0,0,,,
Beaver Dragon,1,0,0.0,11.0,11,11,9.0,9,9,0.0,0,0,0.0,,1950,1950,1950,1950
Ben Hess,8,0,0.0,28.25,18,41,24.5,20,33,0.88,7,7,89.5,,9345,1168,3000,330
Ben Kennedy,17,0,0.0,13.71,2,25,18.35,4,36,0.53,9,5,19.18,0.0,0,,,
Ben Rhodes,10,0,0.0,12.5,1,18,21.0,7,35,0.0,0,0,23.0,,245449,24545,32286,20361
Bennie Davis,14,0,0.0,20.71,18,22,14.79,7,24,0.0,0,0,119.14,,5075,363,650,200
Benny Gordon,27,0,0.0,28.26,12,43,26.15,5,38,0.0,0,0,30.41,0.0,443893,19300,46020,10400
Benny Kerley,10,0,0.0,29.1,18,39,24.7,6,38,0.0,0,0,89.4,,9425,943,2235,305
Bill Elliott,44,1,0.02273,14.84,1,38,16.73,1,40,3.09,136,47,107.11,0.0,311958,7255,28950,750
Bill Eversole,1,0,0.0,26.0,26,26,37.0,37,37,0.0,0,0,52.0,,16365,16365,16365,16365
Bill Gratton,5,0,0.0,25.6,20,36,24.4,13,37,0.0,0,0,89.8,,4105,821,1090,260
Bill Hampton,1,0,0.0,15.0,15,15,20.0,20,20,0.0,0,0,103.0,,300,300,300,300
Bill Hoff,22,0,0.0,39.73,28,43,37.77,24,43,0.0,0,0,48.14,,203882,9267,15440,2980
Bill Ingle,3,0,0.0,21.33,10,32,24.67,22,26,0.0,0,0,89.0,,5635,1878,3425,300
Bill Lester,1,0,0.0,24.0,24,24,21.0,21,21,0.0,0,0,100.0,,8750,8750,8750,8750
Bill Prietzel,1,0,0.0,36.0,36,36,27.0,27,27,0.0,0,0,17.0,,11550,11550,11550,11550
Bill Venturini,4,0,0.0,25.75,12,39,17.25,11,24,0.0,0,0,53.75,,5815,1454,2220,900
Billy Adkins,3,0,0.0,,,,17.67,11,28,0.0,0,0,110.0,,850,283,450,100
Billy Boat,1,0,0.0,32.0,32,32,29.0,29,29,0.0,0,0,76.0,,16400,16400,16400,16400
Billy Clark,13,0,0.0,18.54,1,43,22.38,6,42,8.62,112,90,75.77,,46086,3545,13150,1400
Billy Hess,7,0,0.0,28.5,19,38,16.14,6,25,0.0,0,0,115.57,,3115,445,980,200
Billy Hicks,4,0,0.0,26.5,23,30,20.5,16,30,0.0,0,0,101.5,,2500,625,940,250
Billy Hogan,23,0,0.0,26.25,17,41,19.52,10,35,0.0,0,0,99.74,,16220,705,2200,210
Billy Johnson,5,0,0.0,10.2,4,22,21.4,8,36,2.0,10,10,32.2,,98701,19740,24200,17683
Billy Myers,15,0,0.0,27.57,19,40,22.4,12,35,0.0,0,0,95.8,,7635,509,900,225
Billy Parker,11,0,0.0,22.36,8,41,32.73,22,43,0.45,5,5,60.0,,171793,15618,23010,8360
Billy Standridge,84,0,0.0,23.79,9,44,20.35,6,39,0.04,3,3,102.15,,138742,1652,10600,205
Blaine Perkins,57,0,0.0,29.89,15,38,26.82,10,38,0.04,2,2,9.4,0.02,0,,,
Blaise Alexander,65,0,0.0,25.89,5,43,27.85,7,43,0.38,25,18,79.69,,758127,11663,26870,4050
Blake Bjorklund,3,0,0.0,38.67,37,40,32.67,30,35,0.0,0,0,65.0,,60985,20328,24125,14985
Blake Feese,13,0,0.0,21.38,5,41,31.69,23,41,0.0,0,0,67.92,,240478,18498,25815,12865
Blake Jones,5,0,0.0,31.8,26,37,29.6,24,37,0.0,0,0,8.4,0.0,0,,,
Blake Koch,213,0,0.0,23.36,1,43,25.33,6,43,0.26,56,28,18.38,0.06,2911433,19806,57726,9336
