owner,total_races,wins,win_pct,avg_start,best_start,worst_start,avg_finish,best_finish,worst_finish,avg_laps_led,total_laps_led,most_laps_led,avg_points,avg_playoff_pts,total_money,avg_money,max_race_money,min_race_money
Bechtel / Gibbs Racing,32,0,0.0,19.56,4,42,17.09,3,42,1.97,63,41,114.31,,631416,19732,36375,11966
Beggarly Racing,1,0,0.0,23.0,23,23,18.0,18,18,0.0,0,0,0.0,,230,230,230,230
Bell Sadler,60,0,0.0,16.65,1,39,21.18,2,41,4.97,298,76,100.62,,331343,5522,16061,1720
Ben Hess,4,0,0.0,31.5,18,41,23.75,20,31,1.75,7,7,91.75,,6725,1681,3000,330
Bennett Brothers,1,0,0.0,15.0,15,15,28.0,28,28,0.0,0,0,79.0,,1245,1245,1245,1245
Benny Gordon,5,0,0.0,23.8,20,26,25.8,5,38,0.0,0,0,12.0,,105296,21059,31248,14431
Bert Oostlander,2,0,0.0,37.0,36,38,38.0,33,43,0.0,0,0,49.0,,27811,13906,15515,12296
Big Daddy's,1,0,0.0,17.0,17,17,39.0,39,39,0.0,0,0,46.0,,1315,1315,1315,1315
Big Daddy's Lounge,1,0,0.0,16.0,16,16,7.0,7,7,0.0,0,0,146.0,,1400,1400,1400,1400
Big Orange Market,20,0,0.0,17.8,3,32,15.25,5,31,0.0,0,0,117.95,,15480,774,1320,450
Bill Amick,93,0,0.0,25.41,3,43,28.23,4,44,0.41,38,31,78.9,,931913,10021,30875,2800
Bill Baumgardner,389,16,0.04113,20.07,1,44,17.67,1,44,8.38,3261,255,111.86,,5377743,13825,82337,1625
Bill Collins,1,0,0.0,20.0,20,20,16.0,16,16,0.0,0,0,0.0,,1425,1425,1425,1425
Bill Davis,332,11,0.03313,16.66,1,44,16.99,1,43,7.86,2611,177,113.68,,5005457,15077,113844,300
Bill Edwards,2,0,0.0,25.0,25,25,38.5,37,40,0.0,0,0,47.5,,1415,708,1090,325
Bill Elliott,33,0,0.0,21.67,2,42,20.58,3,41,0.85,28,12,93.91,,187640,5686,16764,750
Bill Gatton,1,0,0.0,23.0,23,23,24.0,24,24,0.0,0,0,91.0,,200,200,200,200
Bill Goudie,1,0,0.0,21.0,21,21,17.0,17,17,0.0,0,0,0.0,,1275,1275,1275,1275
Bill Hahnlein,1,0,0.0,,,,23.0,23,23,0.0,0,0,94.0,,680,680,680,680
Bill Lewis,239,0,0.0,18.62,1,42,18.85,2,43,0.74,177,44,106.72,,2782771,11643,44025,320
