season,race,site,track,track_length,track_type,finish,start,driver,manufacturer,truck_number,owner,sponsor,win,top_5,top_10,top_20,laps,laps_led,status,money,pts,playoff_pts
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,5,3,Jack Sprague,Chevrolet,31.0,Bruce Griffin,St. John's Catholic Church/Motorsports Design,0,1,1,1,203,0,running,4650.0,155,
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,6,5,Scott Lagasse,Chevrolet,24.0,Rick Hendrick,DuPont Automotive Finishes,0,0,1,1,203,0,running,3700.0,150,
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,7,10,Sammy Swindell,Ford,38.0,Brad Akins / Bob Sutton,Channellock Tools,0,0,1,1,203,0,running,3750.0,146,
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,8,8,Bill Sedgwick,Chevrolet,75.0,Wayne Spears,Spears Manufacturing,0,0,1,1,203,23,running,4600.0,142,
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,9,17,Butch Miller,Ford,98.0,Jim Herrick,Raybestos Brakes / Red Carpet Lease,0,0,1,1,203,1,running,3650.0,138,
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,10,12,Dave Rezendes,Ford,7.0,Geoffrey Bodine,Exide Batteries,0,0,1,1,202,0,running,3150.0,134,
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,11,21,Mark Gibson,Dodge,30.0,Grier Lackey,Mopar Performance,0,0,0,1,202,0,running,2950.0,130,
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,12,26,Jerry Churchill,Ford,88.0,Jerry Churchill,Churchill Transportation,0,0,0,1,201,0,running,3400.0,127,
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,13,22,Kerry Teague,Chevrolet,51.0,Jim Rosenblum,Pro Cal,0,0,0,1,201,0,running,3350.0,124,
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,14,25,Jerry Glanville,Ford,81.0,Jerry Glanville,Race Fans Unlimited,0,0,0,1,200,0,running,3300.0,121,
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,15,24,Steve McEachern,Chevrolet,54.0,Steve McEachern,McEachern Racing,0,0,0,1,200,0,running,3425.0,118,
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,16,30,Mike Hurlbert,Ford,11.0,Mike Hurlbert,RPM Racing,0,0,0,1,194,0,running,3200.0,115,
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,17,19,Tobey Butler,Ford,21.0,Jim Venable,Ortho Lawn & Garden Care,0,0,0,1,192,0,running,3100.0,112,
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,18,18,Walker Evans,Dodge,20.0,Walker Evans,Walker Evans Racing,0,0,0,1,175,0,engine,2500.0,109,
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,19,9,Mike Bliss,Ford,8.0,Jim Smith,Ultra Custom Wheels,0,0,0,1,174,0,rear end,2900.0,106,
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,20,27,Lou Gigliotti,Chevrolet,82.0,Lou Gigliotti,Young Chevrolet,0,0,0,1,162,0,crash,2300.0,103,
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,21,14,Gary Collins,Chevrolet,74.0,Marion Collins,Mesa Marin Raceway,0,0,0,0,158,0,engine,2575.0,100,
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,22,4,Steve Portenga,Chevrolet,83.0,Linda Mountanos,The Coffee Critic,0,0,0,0,139,0,engine,1950.0,97,
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,23,23,T.J. Clark,Ford,23.0,T.J. Clark,ASE / MTX,0,0,0,0,135,0,engine,1900.0,94,
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,24,16,Bob Strait,Ford,37.0,Jim Spicuzza,Target Expediting,0,0,0,0,106,0,crash,2350.0,91,
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,25,20,Troy Beebe,Chevrolet,89.0,John Redding,Trucking America / Taco Bell,0,0,0,0,73,0,crash,1750.0,88,
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,26,15,Butch Gilliland,Ford,6.0,Jim Smith,Ultra Custom Wheels,0,0,0,0,48,0,overheating,2150.0,85,
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,27,1,Mike Skinner,Chevrolet,3.0,Richard Childress,GM Goodwrench Service,0,0,0,0,40,24,engine,2050.0,82,
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,28,29,Bob Keselowski,Dodge,29.0,Ron Keselowski,Winnebago / Mopar,0,0,0,0,30,0,engine,1925.0,79,
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,29,11,Wayne Jacks,Chevrolet,58.0,Wayne Jacks,DuPont Refinishes,0,0,0,0,29,0,overheating,1425.0,76,
1995,2,Tucson,Tucson Raceway Park,0.375,paved track,30,28,Stan Fox,Chevrolet,10.0,Alex Decuir,Made For You,0,0,0,0,19,0,engine,1425.0,73,
1995,3,Saugus,Saugus Speedway,0.333,paved track,1,3,Ken Schrader,Chevrolet,52.0,Ken Schrader,AC Delco,1,1,1,1,200,54,running,29050.0,180,
1995,3,Saugus,Saugus Speedway,0.333,paved track,2,2,Geoffrey Bodine,Ford,7.0,Geoffrey Bodine,Exide Batteries,0,1,1,1,200,0,running,14850.0,170,
1995,3,Saugus,Saugus Speedway,0.333,paved track,3,11,Bill Sedgwick,Chevrolet,75.0,Wayne Spears,Spears Manufacturing,0,1,1,1,200,0,running,9250.0,165,
1995,3,Saugus,Saugus Speedway,0.333,paved track,4,5,Butch Miller,Ford,98.0,Jim Herrick,Raybestos Brakes / Red Carpet Lease,0,1,1,1,200,31,running,4550.0,160,
1995,3,Saugus,Saugus Speedway,0.333,paved track,5,1,Mike Skinner,Chevrolet,3.0,Richard Childress,GM Goodwrench Service,0,1,1,1,200,115,running,5150.0,155,
1995,3,Saugus,Saugus Speedway,0.333,paved track,6,10,"Ron Hornaday, Jr.",Chevrolet,16.0,"Dale Earnhardt, Inc.",Action Racing Collectibles,0,0,1,1,200,0,running,3850.0,150,
1995,3,Saugus,Saugus Speedway,0.333,paved track,7,12,Butch Gilliland,Ford,6.0,Jim Smith,Ultra Custom Wheels,0,0,1,1,200,0,running,3850.0,146,
1995,3,Saugus,Saugus Speedway,0.333,paved track,8,8,Tobey Butler,Ford,21.0,Jim Venable,Ortho Lawn & Garden Care,0,0,1,1,200,0,running,3600.0,142,
1995,3,Saugus,Saugus Speedway,0.333,paved track,9,9,Rick Carelli,Chevrolet,6.0,Marshall Chesrown,Total Petroleum,0,0,1,1,200,0,running,3670.0,138,
1995,3,Saugus,Saugus Speedway,0.333,paved track,10,16,Bob Strait,Ford,37.0,Jim Spicuzza,Target Expediting,0,0,1,1,199,0,running,3500.0,134,
1995,3,Saugus,Saugus Speedway,0.333,paved track,11,6,Bob Keselowski,Dodge,29.0,Ron Keselowski,Winnebago / Mopar,0,0,0,1,199,0,running,3450.0,130,
1995,3,Saugus,Saugus Speedway,0.333,paved track,12,13,Troy Beebe,Chevrolet,89.0,John Redding,Taco Bell / Truckin' America,0,0,0,1,199,0,running,3400.0,127,
1995,3,Saugus,Saugus Speedway,0.333,paved track,13,7,Joe Ruttman,Ford,84.0,Mark Simo,Coca-Cola Classic,0,0,0,1,198,0,running,3350.0,124,
1995,3,Saugus,Saugus Speedway,0.333,paved track,14,15,Jack Sprague,Chevrolet,31.0,Bruce Griffin,St. John's Catholic Church / Hooters,0,0,0,1,198,0,running,3300.0,121,
1995,3,Saugus,Saugus Speedway,0.333,paved track,15,24,Jerry Churchill,Ford,88.0,Jerry Churchill,Churchill Transportation,0,0,0,1,194,0,running,3475.0,118,
1995,3,Saugus,Saugus Speedway,0.333,paved track,16,4,P.J. Jones,Chevrolet,1.0,Scoop Vessels,Sears DieHard,0,0,0,1,191,0,running,3200.0,115,
1995,3,Saugus,Saugus Speedway,0.333,paved track,17,17,Scott Lagasse,Chevrolet,24.0,Rick Hendrick,DuPont Automotive Finishes,0,0,0,1,189,0,running,3150.0,112,
1995,3,Saugus,Saugus Speedway,0.333,paved track,18,20,Bob Walker,Chevrolet,57.0,Raul Flores,Coca-Cola / McDonald's,0,0,0,1,184,0,running,2625.0,109,
1995,3,Saugus,Saugus Speedway,0.333,paved track,19,21,Jerry Glanville,Ford,81.0,Jerry Glanville,Race Fans Unlimited,0,0,0,1,180,0,running,3100.0,106,
1995,3,Saugus,Saugus Speedway,0.333,paved track,20,22,Kerry Teague,Chevrolet,51.0,Jim Rosenblum,A-1 TV Service,0,0,0,1,174,0,running,3150.0,103,
1995,3,Saugus,Saugus Speedway,0.333,paved track,21,18,Walker Evans,Dodge,20.0,Walker Evans,Walker Evans Racing,0,0,0,0,172,0,running,3050.0,100,
1995,3,Saugus,Saugus Speedway,0.333,paved track,22,19,Mark Gibson,Dodge,30.0,Grier Lackey,Mopar Performance,0,0,0,0,137,0,crash,2525.0,97,
1995,3,Saugus,Saugus Speedway,0.333,paved track,23,14,John Kinder,Ford,14.0,Bill Stroppe,Stroppe Motorsports,0,0,0,0,117,0,fatigue,2525.0,94,
1995,3,Saugus,Saugus Speedway,0.333,paved track,24,23,Sammy Swindell,Ford,38.0,Brad Akins / Bob Sutton,Channellock Tools,0,0,0,0,117,0,running,3025.0,91,
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,1,6,"Ron Hornaday, Jr.",Chevrolet,16.0,"Dale Earnhardt, Inc.",Action Racing Collectibles,1,1,1,1,125,106,running,28650.0,180,
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,2,3,Bill Sedgwick,Chevrolet,75.0,Wayne Spears,Spears Manufacturing,0,1,1,1,125,8,running,13150.0,170,
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,3,17,Mike Bliss,Ford,8.0,Jim Smith,Ultra Custom Wheels,0,1,1,1,125,0,running,8950.0,165,
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,4,1,Mike Skinner,Chevrolet,3.0,Richard Childress,GM Goodwrench Service,0,1,1,1,125,8,running,3850.0,160,
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,5,23,Butch Miller,Ford,98.0,Jim Herrick,Raybestos,0,1,1,1,125,0,running,3900.0,155,
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,6,5,Jack Sprague,Chevrolet,31.0,Bruce Griffin,Dura Lube,0,0,1,1,125,0,running,3700.0,150,
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,7,9,Bob Keselowski,Dodge,29.0,Ron Keselowski,Winnebago,0,0,1,1,125,0,running,3675.0,146,
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,8,10,Joe Ruttman,Ford,84.0,Mark Simo,Coca-Cola Classic,0,0,1,1,125,0,running,3550.0,142,
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,9,25,Scott Lagasse,Chevrolet,24.0,Rick Hendrick,DuPont Automotive Finishes,0,0,1,1,125,0,running,3625.0,138,
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,10,7,Sammy Swindell,Ford,38.0,Brad Akins / Bob Sutton,Channellock Tools,0,0,1,1,124,0,running,3750.0,134,
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,11,21,Bob Strait,Ford,37.0,Jim Spicuzza,Target Expediting,0,0,0,1,124,0,running,3450.0,130,
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,12,11,Rick Carelli,Chevrolet,6.0,Marshall Chesrown,Total Petroleum,0,0,0,1,124,0,running,3400.0,127,
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,13,13,Tobey Butler,Ford,21.0,Jim Venable,Ortho Lawn & Garden Care,0,0,0,1,124,0,running,3350.0,124,
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,14,2,P.J. Jones,Chevrolet,1.0,Scoop Vessels,Sears DieHard,0,0,0,1,124,3,running,3300.0,121,
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,15,26,John Kinder,Ford,14.0,Bill Stroppe,Stroppe Motorsports,0,0,0,1,124,0,running,2925.0,118,
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,16,8,Roger Mears,Chevrolet,25.0,Rick Hendrick,Budweiser,0,0,0,1,123,0,running,2700.0,115,
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,17,30,Kerry Teague,Chevrolet,51.0,Jim Rosenblum,Rosenblum Motorsports,0,0,0,1,123,0,running,3100.0,112,
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,18,20,Stan Fox,Chevrolet,10.0,Alex Decuir,Made For You,0,0,0,1,123,0,running,2500.0,109,
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,19,4,Dave Rezendes,Ford,7.0,Geoffrey Bodine,Exide Batteries,0,0,0,1,123,0,running,2400.0,106,
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,20,16,Gary Collins,Chevrolet,74.0,Marion Collins,Mesa Marin Raceway,0,0,0,1,122,0,running,2875.0,103,
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,21,12,Steve Portenga,Chevrolet,83.0,Linda Mountanos,Coffee Critic / Mission Uniform & Linen,0,0,0,0,122,0,running,2000.0,100,
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,22,19,Wayne Jacks,Chevrolet,58.0,Wayne Jacks,Wayne Jacks Racing,0,0,0,0,121,0,running,1900.0,97,
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,23,29,Jerry Churchill,Ford,88.0,Jerry Churchill,Churchill Transport,0,0,0,0,121,0,running,2300.0,94,
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,24,27,Bob Walker,Chevrolet,57.0,Raul Flores,McDonald's / Coca-Cola,0,0,0,0,121,0,running,1700.0,91,
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,25,15,Troy Beebe,Chevrolet,89.0,John Redding,Trucking America,0,0,0,0,119,0,running,2200.0,88,
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,26,22,John Nemechek,Chevrolet,87.0,Joe Nemechek,Burger King,0,0,0,0,119,0,running,1475.0,85,
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,27,28,Walker Evans,Dodge,20.0,Walker Evans,Walker Evans Racing,0,0,0,0,114,0,running,1900.0,82,
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,28,14,Pancho Carter,Chevrolet,99.0,Richard Balestrieri,Enerjetix,0,0,0,0,111,0,running,1325.0,79,
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,29,18,Butch Gilliland,Ford,6.0,Jim Smith,Ultra Custom Wheels,0,0,0,0,111,0,running,1825.0,76,
1995,4,Mesa Marin,Mesa Marin Raceway,0.5,paved track,30,24,Dave Ashley,Ford,2.0,Jim Smith,Ultra Custom Wheels,0,0,0,0,77,0,engine,1325.0,73,
1995,5,Portland,Portland Speedway,0.5,paved track,1,1,Mike Skinner,Chevrolet,3.0,Richard Childress,GM Goodwrench Service,1,1,1,1,200,200,running,25200.0,180,
1995,5,Portland,Portland Speedway,0.5,paved track,2,2,Joe Ruttman,Ford,84.0,Mark Simo,Coca-Cola Classic,0,1,1,1,200,0,running,16550.0,170,
1995,5,Portland,Portland Speedway,0.5,paved track,3,10,Butch Miller,Ford,98.0,Jim Herrick,Raybestos Brakes / Red Carpet Lease,0,1,1,1,200,0,running,8500.0,165,
1995,5,Portland,Portland Speedway,0.5,paved track,4,5,Tobey Butler,Ford,21.0,Jim Venable,Ortho Lawn & Garden Care,0,1,1,1,200,0,running,8650.0,160,
1995,5,Portland,Portland Speedway,0.5,paved track,5,16,Mike Bliss,Ford,8.0,Jim Smith,Ultra Custom Wheels,0,1,1,1,200,0,running,7100.0,155,
1995,5,Portland,Portland Speedway,0.5,paved track,6,14,Geoffrey Bodine,Ford,7.0,Geoffrey Bodine,Exide Batteries,0,0,1,1,200,0,running,3700.0,150,
1995,5,Portland,Portland Speedway,0.5,paved track,7,6,Bill Sedgwick,Chevrolet,75.0,Wayne Spears,Spears Manufacturing,0,0,1,1,200,0,running,3950.0,146,
1995,5,Portland,Portland Speedway,0.5,paved track,8,19,Rick Carelli,Chevrolet,6.0,Marshall Chesrown,Total Petroleum,0,0,1,1,200,0,running,3800.0,142,
1995,5,Portland,Portland Speedway,0.5,paved track,9,3,"Ron Hornaday, Jr.",Chevrolet,16.0,"Dale Earnhardt, Inc.",Papa John's Pizza,0,0,1,1,200,0,running,3650.0,138,
1995,5,Portland,Portland Speedway,0.5,paved track,10,4,Jack Sprague,Chevrolet,31.0,Bruce Griffin,Performance Race Cars,0,0,1,1,200,0,running,3850.0,134,
1995,5,Portland,Portland Speedway,0.5,paved track,11,9,Bob Keselowski,Dodge,29.0,Ron Keselowski,Winnebago / Mopar Performance,0,0,0,1,199,0,running,3700.0,130,
1995,5,Portland,Portland Speedway,0.5,paved track,12,15,Bob Strait,Ford,37.0,Jim Spicuzza,Target Expediting,0,0,0,1,199,0,running,3400.0,127,
1995,5,Portland,Portland Speedway,0.5,paved track,13,13,Sammy Swindell,Ford,38.0,Brad Akins / Bob Sutton,Channellock Tools,0,0,0,1,199,0,running,3350.0,124,
1995,5,Portland,Portland Speedway,0.5,paved track,14,22,John Nemechek,Chevrolet,87.0,Joe Nemechek,Burger King,0,0,0,1,199,0,running,3000.0,121,
1995,5,Portland,Portland Speedway,0.5,paved track,15,11,Dennis Wooldridge,Chevrolet,10.0,Alex Decuir,Made For You / Decuir,0,0,0,1,198,0,running,2925.0,118,
1995,5,Portland,Portland Speedway,0.5,paved track,16,20,Pancho Carter,Chevrolet,99.0,Richard Balestrieri,Enerjetix Motorsports,0,0,0,1,197,0,running,3050.0,115,
1995,5,Portland,Portland Speedway,0.5,paved track,17,7,P.J. Jones,Chevrolet,1.0,Scoop Vessels,Sears DieHard,0,0,0,1,196,0,running,3100.0,112,
1995,5,Portland,Portland Speedway,0.5,paved track,18,26,Jerry Glanville,Ford,81.0,Jerry Glanville,Glanville Motorsports,0,0,0,1,193,0,running,3000.0,109,
1995,5,Portland,Portland Speedway,0.5,paved track,19,12,Steve Portenga,Chevrolet,83.0,Linda Mountanos,The Coffee Critic,0,0,0,1,181,0,running,2400.0,106,
1995,5,Portland,Portland Speedway,0.5,paved track,20,8,Wayne Jacks,Chevrolet,58.0,Wayne Jacks,The Edge KEDG 105.5,0,0,0,1,176,0,crash,2375.0,103,
1995,5,Portland,Portland Speedway,0.5,paved track,21,17,Scott Lagasse,Chevrolet,24.0,Rick Hendrick,DuPont Automotive Finishes,0,0,0,0,175,0,running,2575.0,100,
1995,5,Portland,Portland Speedway,0.5,paved track,22,18,John Kinder,Ford,14.0,Bill Stroppe,Stroppe Motorsports,0,0,0,0,166,0,exhaust,1950.0,97,
1995,5,Portland,Portland Speedway,0.5,paved track,23,21,Walker Evans,Dodge,20.0,Walker Evans,Walker Evans Racing,0,0,0,0,164,0,running,2400.0,94,
1995,5,Portland,Portland Speedway,0.5,paved track,24,24,Jerry Churchill,Ford,88.0,Jerry Churchill,Churchill Transport,0,0,0,0,106,0,crash,2350.0,91,
1995,5,Portland,Portland Speedway,0.5,paved track,25,23,Kerry Teague,Chevrolet,51.0,Jim Rosenblum,Ventvisor,0,0,0,0,72,0,crash,2250.0,88,
1995,5,Portland,Portland Speedway,0.5,paved track,26,25,Mike Hurlbert,Ford,11.0,Mike Hurlbert,Bud Light,0,0,0,0,56,0,oil leak,2300.0,85,
1995,6,Evergreen,Evergreen Speedway,0.646,paved track,1,2,"Ron Hornaday, Jr.",Chevrolet,16.0,"Dale Earnhardt, Inc.",Papa John's Pizza,1,1,1,1,150,143,running,28100.0,180,
1995,6,Evergreen,Evergreen Speedway,0.646,paved track,2,4,Joe Ruttman,Ford,84.0,Mark Simo,Coca-Cola Classic,0,1,1,1,150,7,running,14950.0,170,
1995,6,Evergreen,Evergreen Speedway,0.646,paved track,3,11,Butch Miller,Ford,98.0,Jim Herrick,Raybestos Brakes / Red Carpet Lease,0,1,1,1,150,0,running,10950.0,165,
1995,6,Evergreen,Evergreen Speedway,0.646,paved track,4,6,Mike Skinner,Chevrolet,3.0,Richard Childress,GM Goodwrench Service,0,1,1,1,150,0,running,7250.0,160,
1995,6,Evergreen,Evergreen Speedway,0.646,paved track,5,14,Mike Bliss,Ford,8.0,Jim Smith,Ultra Custom Wheels,0,1,1,1,150,0,running,5100.0,155,
1995,6,Evergreen,Evergreen Speedway,0.646,paved track,6,8,P.J. Jones,Chevrolet,1.0,Scoop Vessels,Sears DieHard,0,0,1,1,150,0,running,4850.0,150,
