owner,season,owner_season_races,owner_season_wins,owner_season_top_5,owner_season_top_10,owner_season_top_20,owner_season_win_pct,owner_season_trucks_raced,owner_season_truck_win_pct,owner_season_avg_start,owner_season_avg_finish,owner_season_avg_laps_led,owner_season_laps_led
Steve Portenga,2002,21,0,0,2,10,0.0,22,0.0,23.77,20.59,0.0,0
Steve Prescott,2002,5,0,0,1,2,0.0,5,0.0,25.0,20.4,0.0,0
Thee Dixon,2002,1,0,0,0,0,0.0,1,0.0,16.0,26.0,0.0,0
Tom Mazzuchi,2002,13,0,0,0,2,0.0,13,0.0,30.69,30.31,0.0,0
Tom Mitchell,2002,22,0,12,17,21,0.0,22,0.0,6.73,7.23,21.64,476
Tom Pistone,2002,1,0,0,0,0,0.0,1,0.0,19.0,26.0,0.0,0
Tom Powers,2002,10,0,0,0,2,0.0,10,0.0,34.2,25.9,0.0,0
Wayne Spears,2002,22,1,8,16,20,0.04545,22,0.04545,8.18,8.95,5.05,111
Alvin Thompson,2003,1,0,0,0,0,0.0,1,0.0,29.0,27.0,0.0,0
Andy Hillenburg,2003,1,0,0,0,1,0.0,1,0.0,14.0,15.0,0.0,0
Andy Petree,2003,10,1,1,3,7,0.1,10,0.1,18.1,14.5,3.2,32
Arnie Mahlik,2003,1,0,0,0,1,0.0,1,0.0,36.0,20.0,0.0,0
Billy Ballew,2003,25,0,1,2,14,0.0,25,0.0,18.8,18.6,0.12,3
Bob Brevak,2003,15,0,0,0,6,0.0,15,0.0,25.6,21.47,0.0,0
Bob Keselowski,2003,25,0,0,13,24,0.0,25,0.0,9.6,12.2,3.36,84
Bobby Hamilton Racing,2003,25,2,12,28,63,0.08,75,0.02667,10.24,13.45,7.01,526
Bobby Sands,2003,1,0,0,0,0,0.0,1,0.0,36.0,36.0,0.0,0
Bradford Miller,2003,3,0,0,0,2,0.0,3,0.0,16.67,19.67,0.0,0
Bryan Reffner,2003,2,0,0,0,1,0.0,2,0.0,26.0,22.0,0.0,0
Carl Long,2003,1,0,0,0,1,0.0,1,0.0,14.0,17.0,0.0,0
Charlie Bradberry,2003,5,0,0,0,2,0.0,5,0.0,22.6,24.6,0.0,0
Christopher Beckington,2003,19,0,0,2,2,0.0,19,0.0,24.26,30.37,0.0,0
Craig Wood,2003,1,0,0,0,0,0.0,1,0.0,35.0,32.0,0.0,0
Dan Higgs,2003,1,0,0,0,0,0.0,1,0.0,26.0,32.0,0.0,0
Daniel Whitt,2003,7,0,0,0,2,0.0,7,0.0,16.29,26.14,0.0,0
Danny McCall,2003,1,0,0,0,0,0.0,1,0.0,28.0,21.0,0.0,0
Darren Shaw,2003,6,0,0,0,4,0.0,6,0.0,26.33,21.0,0.0,0
Dave Malcolmson,2003,2,0,0,0,1,0.0,2,0.0,24.0,21.0,0.0,0
David Fuge,2003,3,0,2,2,3,0.0,3,0.0,17.0,9.0,0.0,0
Dennis Hannel,2003,1,0,0,0,0,0.0,1,0.0,32.0,35.0,0.0,0
Dennis Sockwell,2003,3,0,0,0,1,0.0,3,0.0,24.0,23.67,0.0,0
Doc MacDonald,2003,25,0,0,0,11,0.0,25,0.0,26.04,21.56,0.0,0
Donald Stout,2003,3,0,0,0,1,0.0,3,0.0,28.33,27.0,0.0,0
Donald Thompson,2003,1,0,0,0,0,0.0,1,0.0,26.0,21.0,0.0,0
Doug Keller,2003,6,0,0,0,2,0.0,6,0.0,29.33,24.33,0.0,0
Duke Thorson,2003,25,0,0,11,22,0.0,26,0.0,14.54,14.0,0.42,11
Ed Sutton,2003,4,0,0,0,1,0.0,4,0.0,31.5,26.0,0.0,0
Fred Horn,2003,7,0,0,0,2,0.0,7,0.0,21.57,24.57,0.0,0
Gary Keller,2003,2,0,0,0,1,0.0,2,0.0,24.5,18.5,0.0,0
Gene Christensen,2003,25,0,0,0,22,0.0,48,0.0,22.1,21.69,0.04,2
Greg Sarff,2003,1,0,0,0,0,0.0,1,0.0,33.0,33.0,0.0,0
Howard Carpenter,2003,2,0,0,0,1,0.0,2,0.0,30.5,19.0,0.0,0
Jack Roush,2003,25,5,23,35,42,0.2,50,0.1,8.3,9.32,14.24,712
James Burr,2003,4,0,0,0,2,0.0,4,0.0,28.0,21.75,0.0,0
James Harris,2003,22,0,4,9,18,0.0,22,0.0,13.27,13.27,0.45,10
James Liguori,2003,6,0,0,0,3,0.0,6,0.0,27.0,21.83,0.0,0
Jason Small,2003,3,0,0,1,1,0.0,3,0.0,23.33,18.0,0.0,0
Jeff Spraker,2003,1,0,0,0,0,0.0,1,0.0,24.0,28.0,0.0,0
Jerry Miller,2003,1,0,0,0,0,0.0,1,0.0,32.0,23.0,0.0,0
Jim Dean,2003,2,0,0,0,1,0.0,2,0.0,24.0,24.5,0.0,0
Jim Rosenblum,2003,5,0,0,0,2,0.0,5,0.0,26.6,21.6,0.0,0
Jim Smith,2003,25,5,22,38,48,0.2,61,0.08197,8.9,10.51,19.89,1213
John Bailey,2003,2,0,0,0,0,0.0,2,0.0,24.0,23.0,0.0,0
John Borneman,2003,1,0,0,0,0,0.0,1,0.0,31.0,23.0,0.0,0
John Conely,2003,1,0,0,0,0,0.0,1,0.0,36.0,24.0,0.0,0
Ken Davis,2003,2,0,0,0,1,0.0,2,0.0,35.5,20.5,0.0,0
Ken Hunt,2003,2,0,0,0,2,0.0,2,0.0,28.0,18.0,0.5,1
Ken Schrader,2003,13,0,0,4,10,0.0,13,0.0,13.69,14.69,0.15,2
Ken Weaver,2003,5,0,0,0,3,0.0,5,0.0,30.4,22.2,0.0,0
Kevin Harvick,2003,9,1,3,5,7,0.11111,9,0.11111,10.78,12.67,33.33,300
Kevin Jones,2003,2,0,0,0,0,0.0,2,0.0,30.5,28.0,0.0,0
Lance Hooper,2003,15,0,0,0,0,0.0,15,0.0,23.67,30.27,0.27,4
Larry Richardson,2003,4,0,0,0,1,0.0,4,0.0,30.0,27.0,0.0,0
Lonnie Troxell,2003,21,0,0,0,1,0.0,22,0.0,27.45,31.5,0.0,0
Mary Ward,2003,19,0,0,0,11,0.0,22,0.0,26.86,22.14,0.0,0
Michael Gaughan,2003,25,6,14,18,25,0.24,27,0.22222,7.07,7.96,24.15,652
Michael Waltrip,2003,3,0,0,2,2,0.0,3,0.0,14.0,14.33,0.0,0
Mike Mittler,2003,9,0,0,0,2,0.0,9,0.0,26.67,26.33,0.0,0
Mike Starr,2003,3,0,0,0,1,0.0,3,0.0,26.67,25.33,0.0,0
Morgan Shepherd,2003,16,0,0,0,0,0.0,16,0.0,22.75,30.63,0.44,7
Phil Bonifield,2003,25,0,0,0,5,0.0,30,0.0,27.87,27.07,0.0,0
Raynard McGlynn,2003,5,0,0,0,0,0.0,5,0.0,28.4,30.0,0.0,0
Rick Bogart,2003,2,0,0,0,0,0.0,2,0.0,29.0,32.5,0.0,0
Rick Tennis,2003,1,0,0,0,0,0.0,1,0.0,32.0,27.0,0.0,0
Rick Ware,2003,23,0,0,0,5,0.0,36,0.0,29.28,27.67,0.0,0
Rob Morgan / David Dollar,2003,25,3,15,23,23,0.12,26,0.11538,11.04,7.5,16.81,437
Robert Long,2003,2,0,0,0,1,0.0,2,0.0,20.0,22.0,0.0,0
Rodney Smith,2003,14,0,0,0,1,0.0,15,0.0,27.73,26.53,0.0,0
Ron Rhodes,2003,2,0,0,0,0,0.0,2,0.0,31.5,25.5,0.0,0
Scott Upshaw,2003,6,0,0,0,0,0.0,6,0.0,28.17,24.83,0.0,0
Scott Williams,2003,1,0,0,0,0,0.0,1,0.0,25.0,27.0,0.0,0
Steve Chick,2003,4,0,0,0,3,0.0,4,0.0,33.25,21.75,0.0,0
Steve Coulter,2003,25,1,13,22,25,0.04,25,0.04,8.12,6.24,1.96,49
Steve Prescott,2003,9,0,0,1,8,0.0,9,0.0,19.0,15.33,0.0,0
Tim Woods,2003,2,0,0,0,0,0.0,2,0.0,26.5,28.0,0.0,0
Tom Mazzuchi,2003,22,0,0,0,0,0.0,22,0.0,29.09,31.64,0.0,0
Tom Mitchell,2003,25,1,10,16,23,0.04,25,0.04,8.76,9.0,10.24,256
Wayne Spears,2003,25,0,5,15,22,0.0,25,0.0,10.48,11.72,0.64,16
William Lee,2003,6,0,0,0,3,0.0,6,0.0,32.17,22.5,0.0,0
Alexander Meshkin,2004,25,2,10,17,32,0.08,43,0.04651,10.91,14.14,13.37,575
Andy Petree,2004,2,0,0,0,1,0.0,2,0.0,12.0,27.0,0.0,0
Bill Davis,2004,25,0,5,12,26,0.0,54,0.0,17.06,18.87,1.59,86
Billy Ballew,2004,25,1,4,10,15,0.04,25,0.04,11.64,16.72,12.8,320
Bob Brevak,2004,4,0,0,0,0,0.0,4,0.0,28.75,27.0,0.0,0
Bob Keselowski,2004,25,0,0,1,7,0.0,25,0.0,27.32,25.36,0.28,7
Bobby Dotter,2004,25,0,0,1,12,0.0,25,0.0,26.8,20.36,0.64,16
Bobby Hamilton Racing,2004,25,6,19,27,42,0.24,51,0.11765,9.94,11.61,11.08,565
Cary Agajanian,2004,5,0,1,1,3,0.0,5,0.0,23.6,16.6,27.8,139
Charlie Bradberry,2004,6,0,0,0,0,0.0,6,0.0,31.33,31.17,0.0,0
Curtis Key,2004,2,0,0,0,0,0.0,2,0.0,31.0,31.5,0.0,0
Dana White,2004,3,0,0,0,0,0.0,3,0.0,34.33,31.33,0.0,0
Daniel Whitt,2004,25,0,0,0,16,0.0,25,0.0,19.8,20.08,0.0,0
Darrell Waltrip,2004,25,0,4,10,16,0.0,27,0.0,13.15,17.3,1.41,38
Dave Malcolmson,2004,7,0,0,1,2,0.0,7,0.0,28.29,22.0,0.0,0
David Dollar,2004,25,2,8,16,24,0.08,25,0.08,10.04,8.96,3.72,93
David Froehlich,2004,1,0,0,0,0,0.0,1,0.0,31.0,28.0,0.0,0
Doc MacDonald,2004,7,0,0,0,0,0.0,7,0.0,31.29,28.57,0.0,0
Donald Stout,2004,1,0,0,0,0,0.0,1,0.0,36.0,30.0,0.0,0
Duke Thorson,2004,25,0,1,2,21,0.0,49,0.0,24.82,22.69,0.04,2
Ed Sutton,2004,19,0,0,0,1,0.0,19,0.0,28.53,29.21,0.0,0
Gene Christensen,2004,23,0,0,0,5,0.0,23,0.0,31.13,27.09,0.09,2
George Debidart,2004,25,0,2,10,25,0.0,49,0.0,15.88,20.31,0.8,39
Germain Racing,2004,8,2,4,5,6,0.25,8,0.25,14.5,12.25,15.88,127
Greg Pollex,2004,25,0,2,7,16,0.0,25,0.0,20.88,17.4,2.24,56
Jack Roush,2004,25,3,11,24,38,0.12,50,0.06,11.1,13.76,5.22,261
James Finch,2004,1,0,0,0,0,0.0,1,0.0,6.0,28.0,0.0,0
James Harris,2004,22,0,0,3,8,0.0,22,0.0,24.05,22.95,1.95,43
Jim Smith,2004,25,5,15,24,40,0.2,52,0.09615,13.35,13.37,18.92,984
Ken Schrader,2004,13,0,2,5,9,0.0,13,0.0,18.0,17.38,0.31,4
Ken Weaver,2004,5,0,0,0,1,0.0,5,0.0,28.2,28.2,0.0,0
Kevin Harvick,2004,25,0,8,19,22,0.0,27,0.0,11.81,10.33,1.52,41
Larry Richardson,2004,7,0,0,0,0,0.0,7,0.0,34.14,34.86,0.0,0
Lonnie Troxell,2004,3,0,0,0,1,0.0,3,0.0,30.33,23.0,0.0,0
Michael Gaughan,2004,25,0,5,10,19,0.0,26,0.0,15.62,13.88,3.81,99
Mike Mittler,2004,12,0,0,0,2,0.0,12,0.0,30.42,28.17,0.0,0
Paul Brown,2004,1,0,0,0,0,0.0,1,0.0,30.0,34.0,0.0,0
Phil Bonifield,2004,4,0,0,0,0,0.0,4,0.0,33.75,33.25,0.0,0
Ray Montgomery,2004,25,0,0,0,12,0.0,25,0.0,23.64,22.28,0.0,0
Rob Morgan,2004,10,0,4,4,7,0.0,10,0.0,15.7,13.6,5.3,53
Robert Long,2004,2,0,0,0,1,0.0,2,0.0,22.5,24.0,0.0,0
Ron Rhodes,2004,6,0,0,0,1,0.0,6,0.0,30.83,25.5,0.0,0
Steve Chick,2004,5,0,0,0,2,0.0,5,0.0,30.8,23.6,0.0,0
Steve Coulter,2004,25,1,8,13,16,0.04,25,0.04,8.88,14.48,20.4,510
Steve Prescott,2004,9,0,0,2,5,0.0,9,0.0,21.67,17.56,0.0,0
Tom Eldredge,2004,24,0,0,0,8,0.0,25,0.0,29.16,24.4,0.0,0
Tom Mitchell,2004,25,1,4,10,19,0.04,26,0.03846,15.69,14.73,3.54,92
Wayne Spears,2004,25,2,8,16,19,0.08,25,0.08,12.36,12.28,3.12,78
Bert Oostlander,2005,4,0,0,0,1,0.0,4,0.0,33.75,26.25,0.0,0
Bill Davis,2005,25,2,17,27,49,0.08,75,0.02667,9.68,15.91,13.08,981
Billy Ballew,2005,25,3,8,13,20,0.12,25,0.12,14.12,12.4,12.56,314
Bob Brevak,2005,4,0,0,0,0,0.0,4,0.0,33.25,26.5,0.0,0
Bob Keselowski,2005,25,0,0,1,10,0.0,25,0.0,25.88,23.16,0.4,10
Bobby Dotter,2005,22,0,1,1,5,0.0,22,0.0,28.95,26.95,0.14,3
Bobby Hamilton Racing,2005,25,2,6,14,37,0.08,76,0.02632,22.68,20.49,2.26,172
Curtis Key,2005,1,0,0,0,0,0.0,1,0.0,34.0,33.0,0.0,0
Darrell Waltrip,2005,25,1,6,14,30,0.04,51,0.01961,12.67,18.43,3.71,189
Dave Malcolmson,2005,8,0,0,0,3,0.0,8,0.0,24.5,23.5,0.0,0
David Dollar,2005,25,5,15,21,31,0.2,37,0.13514,14.7,11.7,13.73,508
David Fuge,2005,25,1,6,10,15,0.04,27,0.03704,13.85,17.07,5.56,150
Don Arnold,2005,10,0,0,0,0,0.0,10,0.0,18.6,30.9,0.0,0
Donald Stout,2005,2,0,0,0,0,0.0,2,0.0,35.0,30.5,0.0,0
Duke Thorson,2005,25,0,3,11,31,0.0,50,0.0,20.22,18.86,0.68,34
Ed Sutton,2005,16,0,0,0,3,0.0,16,0.0,30.44,26.94,0.0,0
Gene Christensen,2005,25,0,0,2,8,0.0,28,0.0,27.21,25.39,0.07,2
Germain Racing,2005,25,5,11,15,17,0.2,28,0.17857,11.46,13.68,15.43,432
Greg Pollex,2005,25,0,2,8,18,0.0,25,0.0,14.44,16.12,5.08,127
Jack Roush,2005,25,1,10,22,35,0.04,52,0.01923,16.63,15.4,2.25,117
James Harris,2005,25,0,0,3,10,0.0,25,0.0,27.28,21.36,0.36,9
Jeff Wyler,2005,15,0,2,4,9,0.0,15,0.0,14.87,17.73,5.2,78
Jim Smith,2005,25,1,14,24,40,0.04,50,0.02,14.64,12.04,4.58,229
Ken Schrader,2005,9,0,0,1,6,0.0,9,0.0,25.22,19.67,0.0,0
Ken Weaver,2005,1,0,0,0,0,0.0,1,0.0,28.0,31.0,0.0,0
Kenny Yontz,2005,4,0,0,0,0,0.0,4,0.0,33.25,31.5,0.0,0
Kevin Harvick,2005,25,1,8,14,22,0.04,29,0.03448,14.52,12.28,16.24,471
Malik Ibrahim,2005,1,0,0,0,0,0.0,1,0.0,36.0,28.0,0.0,0
Michael Gaughan,2005,25,1,4,11,27,0.04,48,0.02083,23.79,18.9,0.81,39
Mike Curb,2005,1,0,0,0,0,0.0,1,0.0,13.0,36.0,0.0,0
Mike Mittler,2005,4,0,0,0,0,0.0,4,0.0,31.25,29.0,0.0,0
Pat Wall,2005,2,0,0,0,1,0.0,2,0.0,11.0,25.0,0.0,0
Ray Montgomery,2005,24,0,0,0,6,0.0,24,0.0,28.0,24.92,0.04,1
Rob Ferguson,2005,15,0,0,1,1,0.0,15,0.0,34.53,29.93,0.0,0
"Robert Richardson, Sr.",2005,1,0,0,0,0,0.0,1,0.0,36.0,34.0,0.0,0
Scott Glynn,2005,18,0,1,3,11,0.0,18,0.0,20.44,18.89,0.0,0
Tam Topham,2005,1,0,0,0,0,0.0,1,0.0,29.0,36.0,0.0,0
Tom DeLoach,2005,25,1,2,5,12,0.04,25,0.04,9.44,20.32,2.6,65
Tom Eldredge,2005,10,0,2,4,6,0.0,10,0.0,15.0,17.6,9.4,94
Tom Mitchell,2005,25,1,3,11,16,0.04,25,0.04,12.8,15.84,4.24,106
Troy Baird,2005,1,0,0,0,1,0.0,1,0.0,26.0,14.0,0.0,0
Wayne Spears,2005,25,0,4,10,19,0.0,25,0.0,11.96,13.2,2.32,58
Bill Davis,2006,25,6,22,31,48,0.24,78,0.07692,12.18,15.88,11.83,923
Billy Ballew,2006,25,1,3,7,14,0.04,29,0.03448,19.41,19.38,8.52,247
Bob Keselowski,2006,2,0,0,0,1,0.0,2,0.0,17.0,25.0,1.0,2
Bobby Dotter,2006,25,0,0,4,12,0.0,25,0.0,24.48,21.56,0.2,5
Bobby Hamilton Racing,2006,25,0,2,8,27,0.0,65,0.0,20.62,22.14,0.71,46
Curtis Key,2006,20,0,0,0,5,0.0,20,0.0,28.9,26.55,0.3,6
Darrell Waltrip,2006,25,0,8,20,32,0.0,41,0.0,14.17,14.29,3.9,160
Dave Malcolmson,2006,7,0,0,0,2,0.0,7,0.0,26.57,21.86,0.0,0
David Dollar,2006,25,1,2,15,28,0.04,49,0.02041,17.78,18.45,4.71,231
David Fuge,2006,25,1,7,13,17,0.04,25,0.04,13.92,14.0,3.68,92
Donald Stout,2006,4,0,0,0,0,0.0,4,0.0,34.0,29.25,0.0,0
Duke Thorson,2006,25,0,4,10,29,0.0,51,0.0,20.92,19.57,0.14,7
Ed Sutton,2006,16,0,0,0,2,0.0,16,0.0,28.25,26.06,0.06,1
Gene Christensen,2006,25,0,0,1,6,0.0,28,0.0,29.25,26.75,3.18,89
Germain Racing,2006,25,3,22,29,42,0.12,50,0.06,12.92,10.34,8.84,442
Greg Pollex,2006,25,1,3,12,22,0.04,25,0.04,15.32,12.04,2.6,65
J.L. Pennington,2006,2,0,0,0,0,0.0,2,0.0,35.5,29.5,0.0,0
Jack Roush,2006,25,6,17,33,51,0.24,70,0.08571,12.99,14.2,10.89,762
James Harris,2006,25,0,0,2,10,0.0,25,0.0,23.56,22.68,0.0,0
Jeff Milburn,2006,2,0,0,0,0,0.0,2,0.0,34.5,30.5,0.0,0
Jeff Wyler,2006,25,2,10,14,20,0.08,25,0.08,11.96,12.12,12.28,307
Jim Rosenblum,2006,1,0,0,0,0,0.0,1,0.0,21.0,35.0,0.0,0
Kevin Harvick,2006,25,2,8,12,21,0.08,25,0.08,14.68,12.04,12.52,313
Michael Gaughan,2006,25,0,4,5,19,0.0,25,0.0,19.68,16.48,0.56,14
Michael McSwain,2006,1,0,0,0,1,0.0,1,0.0,29.0,19.0,0.0,0
Mike Mittler,2006,10,0,0,0,0,0.0,10,0.0,29.7,28.5,0.0,0
Ray Evernham,2006,25,0,0,0,4,0.0,25,0.0,24.4,26.16,0.0,0
Ray Montgomery,2006,1,0,0,0,1,0.0,1,0.0,34.0,19.0,0.0,0
Rich Woodard,2006,25,0,0,0,10,0.0,25,0.0,28.12,24.24,0.12,3
"Robert Richardson, Sr.",2006,20,0,0,0,2,0.0,20,0.0,32.9,29.1,0.0,0
Tad Geschickter,2006,23,0,2,4,9,0.0,23,0.0,12.39,21.43,3.35,77
Todd Shafer,2006,1,0,0,0,0,0.0,1,0.0,36.0,36.0,0.0,0
Tom DeLoach,2006,25,1,6,12,23,0.04,25,0.04,18.12,11.04,5.04,126
Tom Mitchell,2006,25,1,5,13,20,0.04,25,0.04,11.72,12.6,6.2,155
Tracy Cline,2006,1,0,0,0,0,0.0,1,0.0,32.0,29.0,0.0,0
Wayne Spears,2006,25,0,0,3,11,0.0,25,0.0,17.2,21.44,0.0,0
Wood Brothers,2006,25,0,0,2,11,0.0,27,0.0,13.74,21.48,0.22,6
Andy Belmont,2007,1,0,0,0,0,0.0,1,0.0,35.0,32.0,0.0,0
Andy Hillenburg,2007,9,0,0,0,0,0.0,9,0.0,33.78,30.67,0.0,0
Bill Davis,2007,25,9,30,43,58,0.36,77,0.11688,9.06,12.44,18.26,1406
Billy Ballew,2007,25,2,4,6,27,0.08,42,0.04762,16.93,19.62,7.67,322
Bob Brevak,2007,2,0,0,0,0,0.0,2,0.0,35.0,32.5,0.0,0
Bobby Dotter,2007,25,0,0,0,8,0.0,25,0.0,24.6,24.56,0.36,9
Bobby Hamilton Racing,2007,25,0,7,16,34,0.0,52,0.0,20.52,17.33,1.04,54
Curtis Key,2007,25,0,0,3,6,0.0,30,0.0,26.2,24.33,0.0,0
Darrell Waltrip,2007,22,0,1,4,9,0.0,23,0.0,19.78,21.78,0.35,8
Dave Malcolmson,2007,25,0,0,1,9,0.0,25,0.0,25.0,23.52,0.2,5
David Dollar,2007,25,0,1,5,13,0.0,31,0.0,18.87,22.87,0.0,0
David Ervin,2007,1,0,0,0,0,0.0,1,0.0,36.0,26.0,0.0,0
David Fuge,2007,25,0,0,1,12,0.0,26,0.0,26.65,22.85,0.0,0
Donald Stout,2007,5,0,0,0,0,0.0,5,0.0,33.4,28.2,0.0,0
Duke Thorson,2007,25,0,1,11,32,0.0,50,0.0,18.0,17.48,1.94,97
Gene Christensen,2007,25,0,0,1,10,0.0,36,0.0,26.75,25.39,0.14,5
Germain Racing,2007,25,3,17,32,45,0.12,56,0.05357,12.68,11.86,5.0,280
J.L. Pennington,2007,21,0,0,0,2,0.0,21,0.0,31.38,27.57,0.0,0
Jack Roush,2007,25,5,12,23,47,0.2,75,0.06667,11.32,16.32,6.76,507
James Blankenbaker,2007,1,0,0,0,0,0.0,1,0.0,28.0,32.0,0.0,0
James Harris,2007,25,0,1,4,15,0.0,26,0.0,17.88,19.35,4.23,110
James Lynch,2007,5,0,0,0,1,0.0,5,0.0,28.8,27.0,0.0,0
Jeff Milburn,2007,3,0,0,0,0,0.0,3,0.0,33.67,32.33,0.0,0
Jeff Wyler,2007,25,1,6,10,15,0.04,25,0.04,10.0,15.88,3.28,82
Jim Rosenblum,2007,2,0,0,0,1,0.0,2,0.0,35.0,27.0,0.0,0
Kerry Scherer,2007,1,0,0,0,0,0.0,1,0.0,30.0,33.0,0.0,0
Kevin Buckler,2007,3,0,0,0,0,0.0,3,0.0,26.0,28.67,0.0,0
Kevin Harvick,2007,25,4,17,29,33,0.16,41,0.09756,12.71,10.24,21.02,862
Michael Gaughan,2007,25,0,3,8,14,0.0,25,0.0,18.04,16.84,1.28,32
Mike Mittler,2007,10,0,0,0,1,0.0,11,0.0,33.45,28.64,0.0,0
Phil Bonifield,2007,7,0,0,0,0,0.0,7,0.0,34.14,33.71,0.0,0
Richard Thompson,2007,3,0,0,0,0,0.0,3,0.0,29.67,30.33,0.0,0
Robert Cowen,2007,1,0,0,0,0,0.0,1,0.0,33.0,30.0,0.0,0
Scott Upshaw,2007,2,0,0,0,0,0.0,2,0.0,34.0,32.5,0.0,0
Tad Geschickter,2007,25,0,1,7,14,0.0,25,0.0,18.6,18.24,0.2,5
Tom DeLoach,2007,25,0,5,9,21,0.0,25,0.0,11.28,13.52,0.36,9
Tom Mitchell,2007,25,0,14,23,40,0.0,50,0.0,18.22,12.62,2.42,121
Tracy Trotter,2007,3,0,0,0,1,0.0,3,0.0,28.67,22.67,0.0,0
Wayne Spears,2007,25,1,1,2,16,0.04,25,0.04,19.68,19.2,0.48,12
Wood Brothers,2007,25,0,4,12,16,0.0,25,0.0,16.32,16.2,5.88,147
Andy Hillenburg,2008,3,0,0,0,0,0.0,3,0.0,33.67,26.33,0.0,0
Bill Davis,2008,25,7,24,47,59,0.28,76,0.09211,10.26,11.5,8.55,650
Billy Ballew,2008,25,3,12,21,34,0.12,50,0.06,13.5,13.82,16.6,830
Bob Brevak,2008,1,0,0,0,1,0.0,1,0.0,36.0,18.0,0.0,0
Bobby Dotter,2008,25,0,0,0,8,0.0,32,0.0,28.91,25.91,0.13,4
Bobby Hamilton Racing,2008,25,1,5,13,30,0.04,43,0.02326,14.86,15.93,5.42,233
Brad Keselowski,2008,4,0,0,1,1,0.0,4,0.0,22.25,20.75,0.0,0
Brent Raymer,2008,5,0,0,0,0,0.0,5,0.0,32.4,30.0,0.0,0
Carl Hartman,2008,2,0,0,0,0,0.0,2,0.0,33.5,34.5,0.0,0
Charles Buchanan,2008,1,0,0,0,0,0.0,1,0.0,35.0,29.0,0.0,0
Chris Lafferty,2008,7,0,0,0,0,0.0,7,0.0,33.71,32.71,0.0,0
Curtis Key,2008,25,0,0,1,5,0.0,26,0.0,26.19,24.04,0.04,1
Dave Malcolmson,2008,25,0,2,8,18,0.0,25,0.0,16.16,15.04,0.8,20
David Dollar,2008,12,0,1,3,11,0.0,14,0.0,20.07,16.86,0.0,0
Derrike Cope,2008,9,0,0,0,0,0.0,15,0.0,33.73,33.2,0.0,0
Donald Stout,2008,4,0,0,0,0,0.0,4,0.0,30.25,30.5,0.0,0
Duke Thorson,2008,25,1,10,14,37,0.04,50,0.02,16.3,15.22,0.86,43
Dwayne Tatman,2008,1,0,0,0,0,0.0,1,0.0,32.0,28.0,0.0,0
Gene Christensen,2008,12,0,0,0,0,0.0,12,0.0,32.67,34.08,0.0,0
Germain Racing,2008,25,3,16,19,37,0.12,57,0.05263,15.14,16.46,4.37,249
Jack Roush,2008,25,1,14,28,52,0.04,75,0.01333,11.15,15.19,4.19,314
James Harris,2008,25,0,0,8,18,0.0,25,0.0,17.48,16.36,0.2,5
James Lynch,2008,2,0,0,0,1,0.0,2,0.0,22.0,23.5,0.0,0
Jeff Wyler,2008,25,0,2,7,21,0.0,25,0.0,15.16,14.4,0.24,6
Jerry Reary,2008,2,0,0,0,0,0.0,2,0.0,35.0,30.0,0.0,0
Jim Rosenblum,2008,2,0,0,0,1,0.0,2,0.0,32.0,20.5,0.0,0
Joe Scott,2008,25,0,2,7,16,0.0,25,0.0,19.76,17.76,0.2,5
Johnny Dangerfield,2008,1,0,0,0,0,0.0,1,0.0,21.0,31.0,0.0,0
Ken Schrader,2008,3,0,1,1,2,0.0,3,0.0,25.67,16.67,0.0,0
Ken Smith,2008,23,0,0,1,6,0.0,23,0.0,26.3,25.3,0.04,1
Kevin Buckler,2008,25,1,1,10,27,0.04,46,0.02174,21.0,19.26,0.02,1
Kevin Harvick,2008,25,8,22,30,36,0.32,50,0.16,5.8,11.44,29.54,1477
Mario Gosselin,2008,8,0,0,0,0,0.0,8,0.0,27.0,27.0,0.13,1
Mike Mittler,2008,7,0,0,0,0,0.0,10,0.0,30.9,27.2,0.3,3
Norm Benning,2008,7,0,0,0,0,0.0,7,0.0,32.86,32.14,0.0,0
Randy Moss,2008,13,0,0,2,9,0.0,13,0.0,18.92,18.62,2.23,29
Ray Hackett,2008,1,0,0,0,0,0.0,1,0.0,26.0,34.0,0.0,0
Richard Thompson,2008,1,0,0,0,0,0.0,1,0.0,28.0,21.0,0.0,0
Rick Jones,2008,2,0,0,0,1,0.0,2,0.0,33.0,26.0,0.0,0
Robert Cowen,2008,3,0,0,0,0,0.0,3,0.0,35.0,32.33,0.0,0
Steve Stallings,2008,7,0,0,1,4,0.0,7,0.0,15.86,19.57,0.0,0
Tad Geschickter,2008,8,0,0,0,1,0.0,8,0.0,28.13,26.63,0.0,0
Tom DeLoach,2008,25,0,4,8,15,0.0,25,0.0,17.68,16.24,6.96,174
Tom Mitchell,2008,25,0,9,18,39,0.0,50,0.0,16.46,14.1,0.72,36
William Bishop,2008,2,0,0,0,1,0.0,2,0.0,32.0,26.5,0.0,0
Wood Brothers,2008,25,0,0,2,9,0.0,25,0.0,21.92,21.6,0.0,0
Andy Hillenburg,2009,25,0,0,0,3,0.0,50,0.0,30.98,28.52,0.04,2
Arthur Shelton,2009,2,0,0,0,1,0.0,2,0.0,23.0,18.0,0.0,0
Billy Ballew,2009,25,7,20,27,44,0.28,51,0.13725,10.9,10.33,20.2,1030
Bobby Dotter,2009,20,0,0,0,0,0.0,20,0.0,30.2,32.5,0.0,0
