owner,season,owner_season_races,owner_season_wins,owner_season_top_5,owner_season_top_10,owner_season_top_20,owner_season_win_pct,owner_season_trucks_raced,owner_season_truck_win_pct,owner_season_avg_start,owner_season_avg_finish,owner_season_avg_laps_led,owner_season_laps_led
Joe Horner,1996,4,0,0,0,0,0.0,4,0.0,22.0,28.0,0.0,0
Joe Madore,1996,2,0,0,0,1,0.0,2,0.0,28.5,22.0,0.0,0
Joe Nemechek,1996,2,0,1,2,2,0.0,2,0.0,3.5,5.0,0.0,0
John Nemechek,1996,24,0,0,2,18,0.0,24,0.0,17.33,18.08,0.0,0
Ken Schrader,1996,9,0,0,4,6,0.0,9,0.0,11.78,17.44,1.33,12
Kenny Allen,1996,20,0,0,1,8,0.0,20,0.0,27.45,22.75,0.0,0
Kevin Doran,1996,6,0,0,0,1,0.0,6,0.0,19.17,27.17,0.0,0
Kevin Grubb,1996,2,0,0,0,1,0.0,2,0.0,15.0,26.5,0.0,0
Kurt Roehrig,1996,8,0,2,6,7,0.0,8,0.0,5.88,10.0,16.13,129
Larry Carnes,1996,12,0,0,0,1,0.0,12,0.0,30.17,26.67,0.0,0
Linda Mountanos,1996,6,0,0,0,3,0.0,7,0.0,22.0,22.71,0.0,0
Mark Simo,1996,24,0,4,10,24,0.0,31,0.0,13.45,14.87,2.55,79
Marshall Chesrown,1996,24,1,2,10,20,0.04167,26,0.03846,16.23,14.35,1.5,39
Michael Waltrip,1996,1,0,1,1,1,0.0,1,0.0,27.0,4.0,0.0,0
Mike Colabucci,1996,3,0,0,0,0,0.0,3,0.0,19.0,29.0,0.0,0
Mike Harvick,1996,4,0,0,0,1,0.0,4,0.0,15.5,26.75,0.0,0
Mike Hurlbert,1996,12,0,0,0,0,0.0,12,0.0,31.75,30.58,0.0,0
Mike Mittler,1996,4,0,0,0,0,0.0,4,0.0,25.5,26.5,0.0,0
Milo Januska,1996,2,0,0,0,1,0.0,2,0.0,27.0,20.5,0.0,0
Mueller Brothers,1996,4,0,0,1,2,0.0,4,0.0,15.25,19.25,0.0,0
Petty Enterprises,1996,24,0,5,9,18,0.0,24,0.0,9.92,14.67,7.5,180
Raymond Scanlan,1996,9,0,0,0,5,0.0,9,0.0,22.33,22.33,0.0,0
Richard Childress,1996,24,8,17,20,23,0.33333,25,0.32,5.52,6.32,61.32,1533
Rick Hendrick,1996,24,5,18,21,23,0.20833,24,0.20833,5.83,5.25,30.54,733
Rick McCray,1996,2,0,0,0,1,0.0,2,0.0,23.0,22.0,0.0,0
Rob Rizzo,1996,4,0,0,1,2,0.0,4,0.0,17.5,19.25,0.0,0
Roger Penske,1996,10,0,1,3,7,0.0,10,0.0,14.9,16.7,0.0,0
Ron Keselowski,1996,23,0,0,1,12,0.0,23,0.0,17.13,22.0,0.0,0
Ron Norick,1996,8,0,0,0,1,0.0,8,0.0,26.63,26.5,0.0,0
Rudy Proctor,1996,1,0,0,0,1,0.0,1,0.0,10.0,20.0,0.0,0
Scoop Vessels,1996,2,0,0,0,1,0.0,2,0.0,30.0,25.0,0.0,0
Steve Coulter,1996,1,0,0,0,0,0.0,1,0.0,16.0,29.0,0.0,0
Steven Sellers,1996,7,0,0,0,3,0.0,7,0.0,23.29,23.29,0.0,0
Susan Combs,1996,3,0,0,0,2,0.0,3,0.0,16.33,19.67,0.0,0
T.J. Clark,1996,15,0,0,0,5,0.0,15,0.0,24.93,24.13,0.0,0
Thee Dixon,1996,4,0,0,0,0,0.0,5,0.0,26.2,27.0,0.0,0
True Dee Paques,1996,1,0,0,0,1,0.0,1,0.0,18.0,15.0,0.0,0
Walker Evans,1996,24,0,0,5,20,0.0,45,0.0,22.38,21.38,0.0,0
Wayne Dokken,1996,17,0,0,3,8,0.0,17,0.0,20.12,21.06,0.0,0
Wayne Jacks,1996,2,0,0,0,1,0.0,2,0.0,31.5,25.5,0.0,0
Wayne Spears,1996,24,0,0,7,15,0.0,24,0.0,15.04,17.29,0.0,0
Wilbur Bunce,1996,4,0,0,0,1,0.0,4,0.0,22.75,23.25,0.0,0
William Grubb,1996,2,0,0,0,1,0.0,2,0.0,20.5,25.0,0.0,0
