owner,owner_overall_races,owner_overall_wins,owner_overall_win_pct,owner_overall_top_5,owner_overall_top_10,owner_overall_top_20,owner_overall_cars_raced,owner_overall_car_win_pct,owner_overall_avg_start,owner_overall_avg_finish,owner_overall_laps_led,owner_overall_avg_laps_led
Roy McDonald,8,0,0.0,0,0,5,8,0.0,25.88,28.63,0,0.0
Roy Thornley,26,0,0.0,2,7,15,26,0.0,17.58,20.23,1,0.04
Roy Trantham,3,0,0.0,0,1,1,3,0.0,13.33,19.67,0,0.0
Roy Tyner,228,0,0.0,12,61,145,239,0.0,22.74,18.61,0,0.0
Roz Howard,6,0,0.0,0,3,4,6,0.0,16.17,13.67,0,0.0
Ruby Flock,1,0,0.0,0,0,1,1,0.0,,18.0,0,0.0
Rudy Hires,2,0,0.0,0,0,0,2,0.0,50.5,58.0,0,0.0
Rudy Hoerr,4,0,0.0,1,3,3,4,0.0,19.5,15.75,0,0.0
Rush Johnson,5,0,0.0,0,1,3,5,0.0,25.8,22.2,0,0.0
Russ Dawson,4,0,0.0,2,3,3,4,0.0,12.5,13.25,0,0.0
Russ Draime,5,0,0.0,1,1,4,5,0.0,14.2,14.8,1,0.2
Russ Loh,5,0,0.0,1,1,1,5,0.0,28.0,20.2,0,0.0
Russ Whiteside,2,0,0.0,0,1,1,2,0.0,24.5,22.0,0,0.0
Russell Large,5,0,0.0,0,0,1,5,0.0,20.2,27.0,9,1.8
Russell Wainscott,2,0,0.0,0,1,1,2,0.0,25.0,36.5,0,0.0
Rusty Wallace,1,0,0.0,0,0,1,1,0.0,36.0,20.0,0,0.0
S.G. Russell,1,0,0.0,0,0,0,1,0.0,54.0,30.0,0,0.0
S.T. Campbell,7,0,0.0,1,2,4,7,0.0,19.43,17.14,0,0.0
Sadler Brothers,57,0,0.0,0,2,12,57,0.0,26.51,27.75,3,0.05
Sally Guide,9,0,0.0,0,0,3,9,0.0,37.63,30.44,0,0.0
Salt Walther,3,0,0.0,0,0,2,3,0.0,24.0,17.67,0,0.0
Sam Arakalian,2,0,0.0,0,0,0,2,0.0,24.5,31.0,0,0.0
Sam Arena,10,0,0.0,0,1,4,10,0.0,25.4,22.9,0,0.0
Sam Clark,1,0,0.0,0,0,0,1,0.0,58.0,40.0,0,0.0
Sam Colvin,1,0,0.0,0,0,1,1,0.0,16.0,11.0,0,0.0
Sam DiRusso,2,0,0.0,0,1,1,2,0.0,38.0,18.0,0,0.0
Sam Fletcher,7,0,0.0,0,1,2,7,0.0,21.14,23.71,0,0.0
Sam Fogle,27,0,0.0,1,9,20,27,0.0,12.93,14.59,3,0.11
Sam Knox,26,1,0.03846,6,11,19,28,0.03571,11.35,15.86,268,9.57
Sam Marshall,1,0,0.0,0,0,0,1,0.0,,24.0,0,0.0
Sam McCuthen,11,0,0.0,1,3,7,11,0.0,12.27,17.18,2,0.18
Sam McMahon,29,0,0.0,0,2,13,29,0.0,26.07,22.38,3,0.1
Sam McQuagg,1,0,0.0,0,0,1,1,0.0,9.0,12.0,0,0.0
Sam Nunn,2,0,0.0,0,1,2,2,0.0,16.5,12.5,0,0.0
Sam Rice,47,2,0.04255,17,24,44,60,0.03333,15.07,14.95,458,7.63
Sam Rose,4,0,0.0,0,0,2,4,0.0,40.75,24.25,0,0.0
Sandy Lynch,2,0,0.0,0,0,1,2,0.0,32.0,41.0,0,0.0
Sandy Sardin,1,0,0.0,0,0,0,1,0.0,36.0,34.0,0,0.0
Sandy Satullo,4,0,0.0,0,0,1,4,0.0,35.5,31.75,0,0.0
Sausman,1,0,0.0,0,0,0,1,0.0,39.0,46.0,0,0.0
Sausman Chevrolet,1,0,0.0,0,0,0,1,0.0,10.0,23.0,0,0.0
Saverance Motors,1,0,0.0,0,0,0,1,0.0,69.0,73.0,0,0.0
Scott Barbour,23,0,0.0,0,1,5,23,0.0,31.74,29.26,2,0.09
Scott Miller,7,0,0.0,0,0,1,7,0.0,21.86,27.43,0,0.0
Scott Smith,4,0,0.0,0,0,2,4,0.0,15.0,25.25,0,0.0
Scotty Cain,28,0,0.0,7,17,22,29,0.0,13.85,11.93,32,1.1
Shep Langdon,41,0,0.0,0,8,31,41,0.0,19.51,16.05,0,0.0
Sherman Clark,8,0,0.0,1,3,5,8,0.0,12.63,18.25,0,0.0
Sherman Utsman,17,0,0.0,1,8,15,17,0.0,15.47,12.29,0,0.0
Sherrill Green,1,0,0.0,0,0,0,1,0.0,23.0,30.0,0,0.0
Shorty Gibbs,2,0,0.0,0,0,1,2,0.0,16.0,17.5,0,0.0
Shorty Johns,112,1,0.00893,9,21,53,112,0.00893,15.43,22.41,880,7.86
Shorty Rollins,46,1,0.02174,11,27,37,47,0.02128,11.82,13.34,109,2.32
Sikes Motors,1,0,0.0,0,0,0,1,0.0,41.0,45.0,0,0.0
Sims Brothers,7,0,0.0,0,0,2,7,0.0,23.71,23.71,0,0.0
Skimp Hersey,1,0,0.0,0,0,1,1,0.0,,18.0,0,0.0
Skip Jaehne,3,0,0.0,0,0,1,3,0.0,26.67,24.33,0,0.0
Slick Gardner,1,0,0.0,0,0,0,1,0.0,11.0,47.0,0,0.0
Slick Smith,4,0,0.0,0,2,4,4,0.0,6.0,11.0,0,0.0
Slim Rominger,4,0,0.0,0,2,2,4,0.0,27.0,24.75,0,0.0
Smith & Jones,3,0,0.0,0,1,2,3,0.0,15.0,19.0,0,0.0
Smith Racing,1,0,0.0,0,0,0,1,0.0,40.0,37.0,0,0.0
Smokey Purser,1,0,0.0,0,0,0,1,0.0,54.0,61.0,0,0.0
Smokey Yunick,72,9,0.125,32,42,55,78,0.11538,8.32,14.31,1786,22.9
Sonny Black,6,0,0.0,0,2,4,6,0.0,36.25,34.5,0,0.0
