driver,career_races,career_wins,career_win_pct,career_top_5,career_top_5_pct,career_top_10,career_top_10_pct,career_top_20,career_top_20_pct,career_avg_start,career_best_start,career_worst_start,career_avg_finish,career_best_finish,career_worst_finish,career_avg_laps_led,career_total_laps_led,career_most_laps_led,career_total_money,career_avg_money,career_max_race_money,career_min_race_money
Bub Strickler,20,0,0.0,0,0.0,2,0.1,9,0.45,25.55,9,40,22.45,8,50,0.0,0,0,10650,592,1375,100
Bubba Farr,3,0,0.0,0,0.0,0,0.0,1,0.33333,17.0,8,31,28.33,16,43,0.0,0,0,625,313,550,75
Bubba Into,2,0,0.0,0,0.0,0,0.0,0,0.0,20.5,12,29,23.5,22,25,0.0,0,0,210,105,160,50
Bubba Wallace,241,2,0.0083,20,0.08299,40,0.16598,118,0.48963,19.84,1,39,20.14,1,39,2.46,592,111,0,,,
Buck Baity,1,0,0.0,0,0.0,0,0.0,0,0.0,77.0,77,77,61.0,61,61,0.0,0,0,0,,,
Buck Baker,636,46,0.07233,246,0.38679,372,0.58491,526,0.82704,10.91,1,54,11.37,1,69,9.08,5775,198,328830,531,21230,25
Buck Barr,2,0,0.0,1,0.5,2,1.0,2,1.0,,,,6.5,3,10,0.0,0,0,575,288,500,75
Buck Brigance,16,0,0.0,0,0.0,2,0.125,12,0.75,18.5,10,41,17.25,7,36,0.0,0,0,1170,78,175,50
Buck Clardy,1,0,0.0,0,0.0,0,0.0,0,0.0,41.0,41,41,30.0,30,30,0.0,0,0,25,25,25,25
Buck Fulp,1,0,0.0,0,0.0,1,1.0,1,1.0,13.0,13,13,7.0,7,7,0.0,0,0,175,175,175,175
Buck Hall,1,0,0.0,0,0.0,0,0.0,0,0.0,22.0,22,22,22.0,22,22,0.0,0,0,25,25,25,25
Buck Mason,3,0,0.0,0,0.0,0,0.0,2,0.66667,37.0,37,37,21.0,17,27,0.0,0,0,185,62,110,25
Buck McCardell,4,0,0.0,0,0.0,0,0.0,1,0.25,12.67,5,23,32.25,20,39,0.0,0,0,60,20,25,10
Buck Peralta,1,0,0.0,0,0.0,0,0.0,1,1.0,35.0,35,35,11.0,11,11,0.0,0,0,1250,1250,1250,1250
