Season,Race,Site,Track,Track_length,Track_type,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Money,Status,Led
1955,4,Daytona Beach,Beach & Road Course,4.1,road course,24.0,37.0,460,Gene Simpson,Brooks Brothers,'55 Plymouth,35.0,35.0,running,0.0
1955,4,Daytona Beach,Beach & Road Course,4.1,road course,25.0,47.0,8,Bud Harless,Edgar Clay,'53 Hudson,35.0,35.0,running,0.0
1955,4,Daytona Beach,Beach & Road Course,4.1,road course,26.0,7.0,78,Jim Paschal,Ernest Woods,'55 Oldsmobile,35.0,35.0,fuel pump,0.0
1955,4,Daytona Beach,Beach & Road Course,4.1,road course,27.0,35.0,26,Russ Truelove,J.W. Campbell,'55 Ford,35.0,35.0,running,0.0
1955,4,Daytona Beach,Beach & Road Course,4.1,road course,28.0,42.0,599,Bud Chaddock,–,'53 Hudson,35.0,35.0,running,0.0
1955,4,Daytona Beach,Beach & Road Course,4.1,road course,29.0,36.0,9,Dave Terrell,Dave Terrell,'55 Plymouth,35.0,35.0,running,0.0
1955,4,Daytona Beach,Beach & Road Course,4.1,road course,30.0,32.0,18,Arden Mounts,Gene Comstock,'54 Hudson,34.0,35.0,running,0.0
1955,4,Daytona Beach,Beach & Road Course,4.1,road course,31.0,44.0,1,Bo Fields,Carl Wesson,'53 Plymouth,33.0,25.0,running,0.0
1955,4,Daytona Beach,Beach & Road Course,4.1,road course,32.0,39.0,75,Ed Paskovich,Ed Paskovich,'53 Dodge,33.0,25.0,running,0.0
1955,4,Daytona Beach,Beach & Road Course,4.1,road course,33.0,31.0,28,Eddie Skinner,Frank Dodge,'53 Oldsmobile,32.0,25.0,running,0.0
1955,4,Daytona Beach,Beach & Road Course,4.1,road course,34.0,11.0,238,Jack Farris,Max Schwimer,'55 Oldsmobile,30.0,25.0,running,0.0
1955,4,Daytona Beach,Beach & Road Course,4.1,road course,35.0,6.0,55,Junior Johnson,B&L Motors / Brushy Mountain Motors (Jim Lowe / Carl Beckham),'55 Oldsmobile,25.0,25.0,clutch,0.0
1955,4,Daytona Beach,Beach & Road Course,4.1,road course,36.0,17.0,92,Herb Thomas,Walt Chapman,'55 Packard,22.0,,engine,0.0
1955,4,Daytona Beach,Beach & Road Course,4.1,road course,37.0,30.0,69,Volney Schulze,Volney Schulze,'54 Dodge,22.0,,overheating,0.0
1955,4,Daytona Beach,Beach & Road Course,4.1,road course,38.0,28.0,33,Gene Comstock,Gene Comstock,'53 Hudson,19.0,,vapor lock,0.0
1955,4,Daytona Beach,Beach & Road Course,4.1,road course,39.0,33.0,41,Ralph Shaffer,John Eanes,'55 Oldsmobile,16.0,,overheating,0.0
1955,4,Daytona Beach,Beach & Road Course,4.1,road course,40.0,20.0,59,Jimmie Lewallen,Brownie Pitt,'54 Oldsmobile,14.0,,transmission,0.0
1955,4,Daytona Beach,Beach & Road Course,4.1,road course,41.0,8.0,188,Hooker Hood,Hooker Hood,'54 Oldsmobile,14.0,,transmission,0.0
