owner,owner_overall_races,owner_overall_wins,owner_overall_win_pct,owner_overall_top_5,owner_overall_top_10,owner_overall_top_20,owner_overall_cars_raced,owner_overall_car_win_pct,owner_overall_avg_start,owner_overall_avg_finish,owner_overall_laps_led,owner_overall_avg_laps_led
Bondo,1,0,0.0,0,0,0,1,0.0,25.0,27.0,0,0.0
Bonicelli Racing,1,0,0.0,0,0,0,1,0.0,24.0,38.0,0,0.0
Born to Race,1,0,0.0,0,0,0,1,0.0,35.0,24.0,0,0.0
Boyd Nelson,26,0,0.0,1,4,18,26,0.0,16.32,17.5,0,0.0
Brad Akins,219,3,0.0137,28,67,137,250,0.012,18.04,19.68,597,2.39
Brad Daugherty,19,1,0.05263,1,3,16,19,0.05263,15.58,15.21,108,5.68
Brad Teague,12,0,0.0,4,8,9,12,0.0,11.08,12.17,34,2.83
Brandon Sperling,1,0,0.0,0,0,1,1,0.0,20.0,20.0,0,0.0
Brannan's Fish,1,0,0.0,0,0,1,1,0.0,31.0,17.0,0,0.0
Brent Bushu,11,0,0.0,0,0,1,11,0.0,27.36,34.0,0,0.0
Brett Bodine,8,0,0.0,0,0,0,8,0.0,34.13,35.63,0,0.0
Brett Favre,29,0,0.0,2,2,6,29,0.0,27.31,27.83,0,0.0
Brian Baumgardner,87,0,0.0,11,29,54,87,0.0,20.46,18.01,54,0.62
Brian Donley,4,0,0.0,0,0,0,4,0.0,38.75,35.25,0,0.0
Brian Ross,3,0,0.0,0,0,2,3,0.0,33.67,24.67,0,0.0
Brian Weber,21,0,0.0,0,0,1,23,0.0,39.57,34.04,0,0.0
Brielle Pontiac,3,0,0.0,0,0,1,3,0.0,26.0,24.0,0,0.0
Britt Racing,2,0,0.0,0,0,0,2,0.0,24.5,28.5,0,0.0
Broadway Motors,2,0,0.0,0,0,1,2,0.0,33.5,24.5,0,0.0
Brown-Ferris Industries,1,0,0.0,0,0,1,1,0.0,16.0,13.0,0,0.0
Bruce Griffin,1,0,0.0,0,0,0,1,0.0,28.0,41.0,0,0.0
Bruce Haley,4,0,0.0,0,0,2,4,0.0,25.75,22.75,0,0.0
Bruce Lawmaster,28,3,0.10714,5,13,19,28,0.10714,11.54,15.46,257,9.18
Brunell Asphalt,2,0,0.0,0,0,0,2,0.0,37.0,22.5,0,0.0
Bryan Goewey,2,0,0.0,0,0,0,2,0.0,25.0,41.0,0,0.0
Bryan Mullet,86,0,0.0,6,20,58,87,0.0,19.76,18.36,142,1.63
Bryan Perry,1,0,0.0,0,0,0,1,0.0,42.0,26.0,0,0.0
