owner,owner_overall_races,owner_overall_wins,owner_overall_win_pct,owner_overall_top_5,owner_overall_top_10,owner_overall_top_20,owner_overall_cars_raced,owner_overall_car_win_pct,owner_overall_avg_start,owner_overall_avg_finish,owner_overall_laps_led,owner_overall_avg_laps_led
Beggarly Racing,1,0,0.0,0,0,1,1,0.0,23.0,18.0,0,0.0
Bell Sadler,52,0,0.0,4,12,31,60,0.0,16.65,21.18,298,4.97
Ben Hess,4,0,0.0,0,0,1,4,0.0,31.5,23.75,7,1.75
Bennett Brothers,1,0,0.0,0,0,0,1,0.0,15.0,28.0,0,0.0
Benny Gordon,5,0,0.0,1,1,2,5,0.0,23.8,25.8,0,0.0
Bert Oostlander,2,0,0.0,0,0,0,2,0.0,37.0,38.0,0,0.0
Big Daddy's,1,0,0.0,0,0,0,1,0.0,17.0,39.0,0,0.0
Big Daddy's Lounge,1,0,0.0,0,1,1,1,0.0,16.0,7.0,0,0.0
Big Orange Market,20,0,0.0,1,5,15,20,0.0,17.8,15.25,0,0.0
Bill Amick,90,0,0.0,2,10,22,93,0.0,25.41,28.23,38,0.41
Bill Baumgardner,291,16,0.05498,65,120,244,389,0.04113,20.07,17.67,3261,8.38
Bill Collins,1,0,0.0,0,0,1,1,0.0,20.0,16.0,0,0.0
Bill Davis,320,11,0.03438,56,119,224,332,0.03313,16.66,16.99,2611,7.86
Bill Edwards,2,0,0.0,0,0,0,2,0.0,25.0,38.5,0,0.0
Bill Elliott,33,0,0.0,1,8,17,33,0.0,21.67,20.58,28,0.85
Bill Gatton,1,0,0.0,0,0,0,1,0.0,23.0,24.0,0,0.0
Bill Goudie,1,0,0.0,0,0,1,1,0.0,21.0,17.0,0,0.0
Bill Hahnlein,1,0,0.0,0,0,0,1,0.0,,23.0,0,0.0
Bill Lewis,239,0,0.0,23,62,144,239,0.0,18.62,18.85,177,0.74
Bill Ondocsin,10,0,0.0,0,0,4,10,0.0,18.0,21.0,3,0.3
Bill Papke,216,0,0.0,14,60,132,216,0.0,19.39,18.13,356,1.65
Bill Riley,5,0,0.0,0,0,1,5,0.0,23.4,25.6,0,0.0
Bill Simpson,7,0,0.0,0,0,1,7,0.0,29.71,26.29,0,0.0
Bill Sprinkle,1,0,0.0,0,0,1,1,0.0,33.0,19.0,0,0.0
Bill Weeb,1,0,0.0,0,0,0,1,0.0,32.0,28.0,0,0.0
Billy Boat,17,0,0.0,0,0,0,17,0.0,23.59,28.59,2,0.12
Billy Gerhart,13,0,0.0,0,0,0,13,0.0,30.85,30.15,0,0.0
Billy Hagan,7,0,0.0,0,0,2,7,0.0,20.14,23.14,40,5.71
Billy Hicks,4,0,0.0,0,0,3,4,0.0,26.5,20.5,0,0.0
Billy Jones,176,4,0.02273,18,43,94,178,0.02247,20.29,20.7,871,4.89
Billy Standridge,86,0,0.0,0,5,45,86,0.0,23.84,20.59,3,0.03
Billygoat Landscape,1,0,0.0,0,0,0,1,0.0,30.0,39.0,0,0.0
Bishop Body Shop,5,0,0.0,0,0,1,5,0.0,29.2,24.2,0,0.0
Blaise Alexander,2,0,0.0,0,0,0,2,0.0,25.0,29.0,0,0.0
Bob Banning,37,0,0.0,3,11,29,37,0.0,17.29,15.7,108,2.92
Bob Bender,3,0,0.0,0,0,0,3,0.0,13.0,39.67,0,0.0
Bob Brevak,3,0,0.0,0,0,1,3,0.0,28.33,25.0,0,0.0
Bob Campbell,39,1,0.02564,15,24,33,39,0.02564,16.9,10.31,105,2.69
Bob Dotter,15,0,0.0,0,2,7,15,0.0,15.67,19.0,0,0.0
Bob Jenkins,75,0,0.0,1,3,15,75,0.0,33.99,25.93,3,0.04
Bob Kelley,9,0,0.0,0,0,2,9,0.0,27.56,27.44,0,0.0
Bob Keselowski,31,0,0.0,0,0,3,52,0.0,31.21,37.58,5,0.1
Bob Labonte,193,7,0.03627,52,98,148,195,0.0359,12.58,13.85,1818,9.32
Bob Newberry,4,0,0.0,0,0,1,4,0.0,20.75,25.75,0,0.0
Bob Ramseur,2,0,0.0,0,0,0,2,0.0,29.0,28.5,0,0.0
Bob Schacht,6,0,0.0,0,0,3,6,0.0,19.67,25.83,0,0.0
Bob Shreeves,70,0,0.0,4,19,53,70,0.0,16.0,15.63,17,0.24
Bob Sutton,138,1,0.00725,16,38,87,139,0.00719,18.9,18.02,248,1.78
Bob Whitcomb,27,0,0.0,0,4,11,27,0.0,21.52,22.52,3,0.11
Bobby Allison,34,1,0.02941,8,15,17,34,0.02941,15.97,18.62,36,1.06
Bobby Benton,1,0,0.0,0,0,1,1,0.0,14.0,19.0,0,0.0
Bobby Cash Auto Parts,1,0,0.0,0,0,0,1,0.0,,30.0,0,0.0
Bobby Dotter,337,1,0.00297,8,26,147,482,0.00207,26.28,24.45,115,0.24
Bobby Ginn,17,0,0.0,3,5,8,17,0.0,15.71,19.65,74,4.35
"Bobby Hillin, Jr.",1,0,0.0,0,0,0,1,0.0,43.0,40.0,0,0.0
Bobby Jones,28,0,0.0,0,0,6,28,0.0,29.68,31.32,10,0.36
Bobby Labonte,36,2,0.05556,14,22,28,36,0.05556,10.42,13.33,527,14.64
Bobby Moon,30,0,0.0,1,3,13,30,0.0,18.97,22.17,0,0.0
Boggero Services,1,0,0.0,0,0,0,1,0.0,36.0,25.0,0,0.0
Bojangles',2,0,0.0,0,0,0,2,0.0,37.0,33.0,0,0.0
