driver,career_races,career_wins,career_win_pct,career_top_5,career_top_5_pct,career_top_10,career_top_10_pct,career_top_20,career_top_20_pct,career_avg_start,career_best_start,career_worst_start,career_avg_finish,career_best_finish,career_worst_finish,career_avg_laps_led,career_total_laps_led,career_most_laps_led,career_total_money,career_avg_money,career_max_race_money,career_min_race_money
Bill Lester,1,0,0.0,0,0.0,0,0.0,0,0.0,24.0,24,24,21.0,21,21,0.0,0,0,8750,8750,8750,8750
Bill Prietzel,1,0,0.0,0,0.0,0,0.0,0,0.0,36.0,36,36,27.0,27,27,0.0,0,0,11550,11550,11550,11550
Bill Venturini,4,0,0.0,0,0.0,0,0.0,2,0.5,25.75,12,39,17.25,11,24,0.0,0,0,5815,1454,2220,900
Billy Adkins,3,0,0.0,0,0.0,0,0.0,2,0.66667,,,,17.67,11,28,0.0,0,0,850,283,450,100
Billy Boat,1,0,0.0,0,0.0,0,0.0,0,0.0,32.0,32,32,29.0,29,29,0.0,0,0,16400,16400,16400,16400
Billy Clark,13,0,0.0,0,0.0,2,0.15385,7,0.53846,18.54,1,43,22.38,6,42,8.62,112,90,46086,3545,13150,1400
Billy Hess,7,0,0.0,0,0.0,2,0.28571,4,0.57143,28.5,19,38,16.14,6,25,0.0,0,0,3115,445,980,200
Billy Hicks,4,0,0.0,0,0.0,0,0.0,3,0.75,26.5,23,30,20.5,16,30,0.0,0,0,2500,625,940,250
Billy Hogan,23,0,0.0,0,0.0,1,0.04348,14,0.6087,26.25,17,41,19.52,10,35,0.0,0,0,16220,705,2200,210
Billy Johnson,5,0,0.0,0,0.0,1,0.2,3,0.6,10.2,4,22,21.4,8,36,2.0,10,10,98701,19740,24200,17683
Billy Myers,15,0,0.0,0,0.0,0,0.0,6,0.4,27.57,19,40,22.4,12,35,0.0,0,0,7635,509,900,225
Billy Parker,11,0,0.0,0,0.0,0,0.0,0,0.0,22.36,8,41,32.73,22,43,0.45,5,5,171793,15618,23010,8360
Billy Standridge,84,0,0.0,0,0.0,5,0.05952,45,0.53571,23.79,9,44,20.35,6,39,0.04,3,3,138742,1652,10600,205
Blaine Perkins,57,0,0.0,0,0.0,1,0.01754,14,0.24561,29.89,15,38,26.82,10,38,0.04,2,2,0,,,
Blaise Alexander,65,0,0.0,0,0.0,2,0.03077,14,0.21538,25.89,5,43,27.85,7,43,0.38,25,18,758127,11663,26870,4050
Blake Bjorklund,3,0,0.0,0,0.0,0,0.0,0,0.0,38.67,37,40,32.67,30,35,0.0,0,0,60985,20328,24125,14985
Blake Feese,13,0,0.0,0,0.0,0,0.0,0,0.0,21.38,5,41,31.69,23,41,0.0,0,0,240478,18498,25815,12865
Blake Jones,5,0,0.0,0,0.0,0,0.0,0,0.0,31.8,26,37,29.6,24,37,0.0,0,0,0,,,
Blake Koch,213,0,0.0,0,0.0,10,0.04695,73,0.34272,23.36,1,43,25.33,6,43,0.26,56,28,2911433,19806,57726,9336
Blake Mallory,3,0,0.0,0,0.0,0,0.0,0,0.0,38.33,30,43,36.33,32,40,0.0,0,0,38140,12713,17390,9135
Bob Brevak,3,0,0.0,0,0.0,0,0.0,1,0.33333,28.33,14,39,25.0,13,31,0.0,0,0,8300,2767,4075,825
Bob Brunell,2,0,0.0,0,0.0,0,0.0,0,0.0,37.0,35,39,22.5,21,24,0.0,0,0,7583,3792,3883,3700
Bob Dotter,3,0,0.0,0,0.0,0,0.0,1,0.33333,28.5,21,36,25.0,17,35,0.0,0,0,4955,1652,3000,680
Bob Freeze,5,0,0.0,0,0.0,0,0.0,4,0.8,,,,17.0,12,24,0.0,0,0,1450,290,400,200
Bob Glass,2,0,0.0,0,0.0,1,0.5,1,0.5,,,,16.0,10,22,0.0,0,0,740,370,500,240
Bob Hatley,7,0,0.0,0,0.0,0,0.0,1,0.14286,25.67,22,32,22.14,13,28,0.0,0,0,1800,257,420,200
Bob Healey,1,0,0.0,0,0.0,0,0.0,0,0.0,45.0,45,45,45.0,45,45,0.0,0,0,1600,1600,1600,1600
Bob Park,6,0,0.0,0,0.0,0,0.0,2,0.33333,30.2,21,39,24.67,12,34,0.0,0,0,5610,935,1580,395
Bob Pressley,6,0,0.0,1,0.16667,1,0.16667,4,0.66667,10.33,8,15,16.67,5,23,0.0,0,0,2905,484,1350,205
Bob Schacht,1,0,0.0,0,0.0,0,0.0,1,1.0,21.0,21,21,15.0,15,15,0.0,0,0,750,750,750,750
Bob Shreeves,93,0,0.0,9,0.09677,29,0.31183,70,0.75269,17.39,1,41,15.57,3,37,0.18,17,11,71460,768,6080,150
Bobby Allison,43,2,0.04651,15,0.34884,22,0.51163,24,0.55814,13.5,4,43,16.51,1,38,5.23,225,108,170638,3968,30550,275
"Bobby Babb, Jr.",2,0,0.0,0,0.0,0,0.0,0,0.0,24.5,18,31,33.5,31,36,0.0,0,0,2500,1250,1300,1200
Bobby Boggero,2,0,0.0,0,0.0,0,0.0,0,0.0,35.0,34,36,26.5,25,28,0.0,0,0,1425,713,1015,410
Bobby Cox,3,0,0.0,0,0.0,0,0.0,1,0.33333,39.0,39,39,25.0,12,40,0.0,0,0,975,325,525,185
Bobby Dale Earnhardt,7,0,0.0,0,0.0,0,0.0,0,0.0,36.14,30,40,31.71,27,37,0.0,0,0,0,,,
Bobby Dotter,209,1,0.00478,12,0.05742,42,0.20096,134,0.64115,21.84,1,42,17.97,1,43,0.7,147,58,810173,3876,19275,350
Bobby Dragon,25,0,0.0,1,0.04,6,0.24,13,0.52,25.2,10,40,20.16,4,43,0.0,0,0,58658,2346,6855,200
Bobby East,11,0,0.0,0,0.0,0,0.0,3,0.27273,24.55,5,40,25.0,12,39,0.36,4,4,218050,19823,26895,14520
Bobby Gada,5,0,0.0,0,0.0,0,0.0,0,0.0,36.2,16,46,34.4,21,44,0.0,0,0,13147,2629,4708,1600
Bobby Gahan,3,0,0.0,0,0.0,0,0.0,0,0.0,34.67,30,42,29.0,24,39,0.0,0,0,3820,1273,1335,1200
Bobby Gerhart,18,0,0.0,0,0.0,0,0.0,2,0.11111,28.56,5,43,29.22,20,40,0.0,0,0,316986,21132,54426,8640
Bobby Hamilton,86,1,0.01163,11,0.12791,22,0.25581,44,0.51163,20.64,3,41,19.06,1,42,1.34,115,54,440913,5127,44425,370
"Bobby Hamilton, Jr.",253,5,0.01976,30,0.11858,63,0.24901,142,0.56126,17.43,1,43,19.13,1,43,5.82,1472,186,5991370,23681,95270,4165
"Bobby Hillin, Jr.",115,2,0.01739,10,0.08696,25,0.21739,52,0.45217,23.17,2,46,21.45,1,43,1.38,159,58,922586,8022,39650,500
Bobby Jacks,1,0,0.0,0,0.0,0,0.0,1,1.0,,,,14.0,14,14,0.0,0,0,875,875,875,875
Bobby Labonte,203,10,0.04926,51,0.25123,100,0.49261,147,0.72414,14.56,1,43,14.49,1,43,8.17,1659,234,2092561,10359,52725,220
Bobby McCarty,1,0,0.0,0,0.0,0,0.0,0,0.0,38.0,38,38,31.0,31,31,0.0,0,0,0,,,
Bobby Moon,30,0,0.0,1,0.03333,3,0.1,13,0.43333,18.97,5,44,22.17,4,38,0.0,0,0,44873,1496,7025,500
Bobby Reuse,4,0,0.0,0,0.0,0,0.0,0,0.0,34.75,31,39,28.75,24,32,0.0,0,0,39921,13307,14506,12405
