owner,owner_overall_races,owner_overall_wins,owner_overall_win_pct,owner_overall_top_5,owner_overall_top_10,owner_overall_top_20,owner_overall_trucks_raced,owner_overall_truck_win_pct,owner_overall_avg_start,owner_overall_avg_finish,owner_overall_laps_led,owner_overall_avg_laps_led
Daisy Ramirez,22,0,0.0,0,1,6,25,0.0,32.24,23.96,4,0.16
"Dale Earnhardt, Inc.",122,25,0.20492,64,93,106,126,0.19841,7.75,8.66,4822,38.27
Dale Phelon,106,1,0.00943,7,29,63,106,0.00943,16.35,18.35,91,0.86
Dan Higgs,4,0,0.0,0,0,2,4,0.0,28.5,25.75,0,0.0
Dan Obrist,1,0,0.0,0,0,0,1,0.0,28.0,22.0,0,0.0
Dan Press,6,0,0.0,1,1,2,6,0.0,18.83,21.33,0,0.0
Dan Selznick,3,0,0.0,0,0,3,3,0.0,24.33,18.33,0,0.0
Dana Dorman,5,0,0.0,2,2,2,5,0.0,14.6,21.4,40,8.0
Dana White,3,0,0.0,0,0,0,3,0.0,34.33,31.33,0,0.0
Daniel Whitt,32,0,0.0,0,0,18,32,0.0,19.03,21.41,0,0.0
Danny Gill,22,0,0.0,1,2,8,36,0.0,26.28,26.36,10,0.28
Danny McCall,1,0,0.0,0,0,0,1,0.0,28.0,21.0,0,0.0
Darrell Waltrip,150,4,0.02667,38,78,131,200,0.02,13.94,16.23,1033,5.17
Darren Shaw,6,0,0.0,0,0,4,6,0.0,26.33,21.0,0,0.0
Dave Goulet,1,0,0.0,0,0,0,1,0.0,27.0,22.0,0,0.0
Dave Malcolmson,92,0,0.0,5,21,51,92,0.0,21.41,18.4,25,0.27
David Dollar,212,10,0.04717,44,92,170,257,0.03891,16.07,16.25,1080,4.2
David Ervin,1,0,0.0,0,0,0,1,0.0,36.0,26.0,0,0.0
David Froehlich,1,0,0.0,0,0,0,1,0.0,31.0,28.0,0,0.0
David Fuge,79,3,0.03797,16,27,48,82,0.03659,17.94,17.48,263,3.21
David Gilliland,152,12,0.07895,66,140,293,440,0.02727,15.81,16.69,1619,3.68
David Hodson,120,3,0.025,33,71,124,175,0.01714,14.81,15.03,1165,6.66
David Melton,1,0,0.0,0,0,0,1,0.0,31.0,26.0,0,0.0
DeWilton Genzman,6,0,0.0,0,0,4,6,0.0,27.17,20.33,2,0.33
Del Markle,1,0,0.0,0,0,0,1,0.0,25.0,35.0,0,0.0
Dennis Hannel,1,0,0.0,0,0,0,1,0.0,32.0,35.0,0,0.0
Dennis Sockwell,16,0,0.0,0,0,5,16,0.0,25.75,23.25,0,0.0
Derrike Cope,13,0,0.0,0,0,3,19,0.0,32.95,30.05,0,0.0
Devin Jones,1,0,0.0,0,0,0,1,0.0,26.0,24.0,0,0.0
Dick Greenfield,10,0,0.0,0,2,7,11,0.0,19.09,17.82,0,0.0
Doc MacDonald,105,0,0.0,0,1,39,105,0.0,24.65,22.9,5,0.05
Dominic Dobson,23,0,0.0,0,1,5,23,0.0,24.48,26.39,20,0.87
Don Arnold,10,0,0.0,0,0,0,10,0.0,18.6,30.9,0,0.0
Don Fauerbach,1,0,0.0,0,0,0,1,0.0,31.0,23.0,0,0.0
"Don Ling, Sr.",3,0,0.0,0,0,0,3,0.0,28.33,31.33,0,0.0
Don VanDenBos,3,0,0.0,0,0,1,3,0.0,22.33,27.67,0,0.0
Donald Long,21,0,0.0,0,0,9,21,0.0,18.9,24.57,2,0.1
Donald Reynolds,1,0,0.0,0,0,0,1,0.0,35.0,26.0,0,0.0
Donald Stout,19,0,0.0,0,0,1,19,0.0,32.37,29.05,0,0.0
Donald Thompson,1,0,0.0,0,0,0,1,0.0,26.0,21.0,0,0.0
