owner,owner_overall_races,owner_overall_wins,owner_overall_win_pct,owner_overall_top_5,owner_overall_top_10,owner_overall_top_20,owner_overall_trucks_raced,owner_overall_truck_win_pct,owner_overall_avg_start,owner_overall_avg_finish,owner_overall_laps_led,owner_overall_avg_laps_led
Chase Mattioli,11,0,0.0,0,0,2,11,0.0,29.27,29.18,0,0.0
Cheryl Cox,2,0,0.0,0,1,1,2,0.0,26.5,19.5,0,0.0
Chris Baluch,72,0,0.0,0,3,27,72,0.0,24.4,22.6,9,0.13
Chris Fontaine,53,0,0.0,0,3,20,54,0.0,24.24,22.89,23,0.43
Chris Lafferty,34,0,0.0,0,0,1,40,0.0,32.03,31.35,0,0.0
Chris Larsen,177,3,0.01695,48,85,140,188,0.01596,12.64,13.98,751,3.99
Christopher Beckington,19,0,0.0,0,2,2,19,0.0,24.26,30.37,0,0.0
Christopher Long,29,0,0.0,0,1,11,43,0.0,24.93,24.12,0,0.0
Chuck Spicer,3,0,0.0,0,0,0,3,0.0,14.33,29.33,116,38.67
Clarence Brewer,34,0,0.0,0,5,19,35,0.0,22.66,18.71,0,0.0
Clay Greenfield,29,0,0.0,0,0,9,29,0.0,25.62,23.66,0,0.0
Codie Rohrbaugh,108,0,0.0,8,16,46,108,0.0,22.42,21.9,101,0.94
Corrie Stott,10,0,0.0,0,0,0,12,0.0,31.0,30.33,0,0.0
Courtney Register,3,0,0.0,0,0,0,3,0.0,24.0,25.67,0,0.0
Craig Martins,32,0,0.0,0,0,8,32,0.0,24.91,24.22,7,0.22
Craig Wood,1,0,0.0,0,0,0,1,0.0,35.0,32.0,0,0.0
Curtis Key,78,0,0.0,0,5,19,86,0.0,26.98,25.05,7,0.08
D.J. Copp,46,0,0.0,0,2,17,50,0.0,26.02,23.2,1,0.02
