owner,total_races,wins,win_pct,avg_start,best_start,worst_start,avg_finish,best_finish,worst_finish,avg_laps_led,total_laps_led,most_laps_led,avg_points,avg_playoff_pts,total_money,avg_money,max_race_money,min_race_money
Negre Racing,1,0,0.0,35.0,35,35,21.0,21,21,0.0,0,0,,,980,980,980,980
Neil Bonnett,13,0,0.0,13.54,6,23,23.23,5,39,0.08,1,1,94.17,,31800,2446,14000,370
Neil Castles,331,0,0.0,19.59,2,48,19.1,2,50,0.31,104,34,69.7,,186122,573,2980,50
Neil Cole,5,0,0.0,13.75,11,19,11.6,6,20,0.0,0,0,,,375,75,150,25
Neil Roberts,1,0,0.0,32.0,32,32,15.0,15,15,0.0,0,0,,,300,300,300,300
Nels Miller,1,0,0.0,12.0,12,12,35.0,35,35,0.0,0,0,,,900,900,900,900
Nelson Bowers,444,2,0.0045,20.75,1,43,22.42,1,43,1.95,864,115,97.32,,31057832,69950,358839,9340
Nelson Malloch,59,0,0.0,18.68,7,41,20.95,3,40,0.37,22,16,100.16,,174780,2962,21225,365
Nelson Oswald,19,0,0.0,29.63,15,38,26.89,18,38,0.0,0,0,82.0,,13910,732,1825,300
Nestor Peles,1,0,0.0,34.0,34,34,28.0,28,28,0.0,0,0,79.0,,600,600,600,600
Newman Long,9,0,0.0,23.44,15,34,22.56,15,35,0.0,0,0,,,975,163,350,100
Newsom Racing,1,0,0.0,35.0,35,35,34.0,34,34,0.0,0,0,,,605,605,605,605
Nick Lari,1,0,0.0,25.0,25,25,18.0,18,18,0.0,0,0,,,50,50,50,50
Nick Pastor,1,0,0.0,33.0,33,33,36.0,36,36,0.0,0,0,,,150,150,150,150
Nick Porter,9,0,0.0,14.22,1,25,12.78,6,21,0.0,0,0,,,900,113,250,50
Nick Rampling,4,0,0.0,33.75,20,45,28.25,18,42,0.0,0,0,,,1875,469,725,100
Noel-Lewin,1,0,0.0,18.0,18,18,33.0,33,33,0.0,0,0,,,1090,1090,1090,1090
Nook Walters,1,0,0.0,9.0,9,9,4.0,4,4,0.0,0,0,,,275,275,275,275
Nord Krauskopf,345,43,0.12464,5.83,1,39,11.69,1,49,45.47,15687,445,129.87,,1225924,3553,27200,100
Norm Johnson,2,0,0.0,34.0,15,53,27.0,20,34,0.0,0,0,,,50,25,25,25
Norm Nelson,13,1,0.07692,12.85,4,42,10.0,1,27,12.46,162,139,,,44720,3440,18370,100
Norm Palmer,7,0,0.0,18.43,8,40,22.71,6,39,0.0,0,0,96.0,,9905,1415,2500,500
Norman Lynch,1,0,0.0,10.0,10,10,29.0,29,29,0.0,0,0,,,25,25,25,25
Norman Negre,6,0,0.0,28.17,14,37,19.33,11,34,0.17,1,1,103.4,,15590,2598,3750,745
Norman Schihl,1,0,0.0,38.0,38,38,23.0,23,23,0.0,0,0,,,150,150,150,150
Norris Price,2,0,0.0,40.0,40,40,27.5,19,36,0.0,0,0,55.0,,2655,1328,2165,490
Norris Reed,27,0,0.0,18.22,1,39,23.07,3,50,0.0,0,0,66.14,,64029,2371,11650,500
O.C. Francis,4,0,0.0,16.0,11,21,14.25,8,24,0.0,0,0,,,175,44,100,25
O.C. Welch,1,0,0.0,38.0,38,38,34.0,34,34,0.0,0,0,61.0,,2455,2455,2455,2455
O.L. Nixon,54,0,0.0,19.44,3,40,22.41,3,51,0.15,8,6,81.33,,107641,1993,10475,245
Oda Greene,1,0,0.0,13.0,13,13,15.0,15,15,0.0,0,0,,,25,25,25,25
Oildale Tire,1,0,0.0,36.0,36,36,38.0,38,38,0.0,0,0,,,1040,1040,1040,1040
Omer Otte,1,0,0.0,25.0,25,25,30.0,30,30,0.0,0,0,,,40,40,40,40
Opal Voight,18,0,0.0,31.94,19,40,19.39,8,40,0.0,0,0,107.12,,31570,1754,4935,385
Oren Prosser,2,0,0.0,27.0,25,29,26.5,25,28,0.0,0,0,,,700,350,500,200
Oscar Bowman,1,0,0.0,5.0,5,5,16.0,16,16,0.0,0,0,,,100,100,100,100
Oscar Maples,33,1,0.0303,11.06,1,36,15.33,1,37,4.58,151,89,,,7595,245,1850,25
Otis Martin,16,0,0.0,23.4,2,42,17.63,6,44,0.0,0,0,,,985,62,150,25
Otis Patton,1,0,0.0,38.0,38,38,25.0,25,25,0.0,0,0,,,1075,1075,1075,1075
Otis Skinner,1,0,0.0,15.0,15,15,7.0,7,7,0.0,0,0,,,325,325,325,325
Owen Cox,2,0,0.0,38.5,14,63,40.5,14,67,0.0,0,0,,,100,50,50,50
Owen Loggins,1,0,0.0,28.0,28,28,28.0,28,28,0.0,0,0,,,0,,,
P.V. McDonald,1,0,0.0,,,,19.0,19,19,0.0,0,0,,,25,25,25,25
Pancho Alvarez,1,0,0.0,9.0,9,9,24.0,24,24,0.0,0,0,,,25,25,25,25
Paper Hangers,2,0,0.0,12.5,12,13,15.0,13,17,0.0,0,0,,,715,358,470,245
Pappy Crane,3,0,0.0,18.67,16,24,29.33,9,42,0.0,0,0,,,340,170,200,140
Pappy Hough,24,0,0.0,21.09,1,44,16.0,5,33,0.0,0,0,,,1520,76,200,10
Parker Snead,3,0,0.0,25.67,18,35,32.0,12,49,0.0,0,0,,,1025,342,550,125
Pat Freeman,1,0,0.0,25.0,25,25,31.0,31,31,0.0,0,0,,,0,,,
Pat Grogan,1,0,0.0,51.0,51,51,47.0,47,47,0.0,0,0,,,50,50,50,50
Pat Kirkwood,5,0,0.0,14.2,1,37,15.2,3,29,0.0,0,0,,,1215,304,600,25
