driver,total_races,wins,win_pct,avg_start,best_start,worst_start,avg_finish,best_finish,worst_finish,avg_laps_led,total_laps_led,most_laps_led,avg_points,avg_playoff_pts,total_money,avg_money,max_race_money,min_race_money
Earl Foushee,1,0,0.0,,,,27.0,27,27,0.0,0,0,,,50,50,50,50
Earl Mosbach,1,0,0.0,20.0,20,20,19.0,19,19,0.0,0,0,,,50,50,50,50
Earl Moss,11,0,0.0,18.8,4,39,22.55,6,39,0.0,0,0,,,625,63,200,10
Earl Ross,26,1,0.03846,14.92,2,46,15.31,1,50,4.88,127,79,85.0,,75125,2889,14550,520
Earl Wilcox,1,0,0.0,38.0,38,38,35.0,35,35,0.0,0,0,,,0,,,
Earl Zindahl,1,0,0.0,19.0,19,19,21.0,21,21,0.0,0,0,,,25,25,25,25
Earle Canavan,68,0,0.0,28.94,15,49,27.31,12,42,0.0,0,0,80.2,,61333,902,1825,275
Ed Andrews,1,0,0.0,23.0,23,23,14.0,14,14,0.0,0,0,,,350,350,350,350
Ed Baugess,1,0,0.0,29.0,29,29,30.0,30,30,0.0,0,0,73.0,,725,725,725,725
Ed Benedict,12,0,0.0,19.38,6,60,18.08,5,53,0.0,0,0,,,785,71,200,10
Ed Berrier,19,0,0.0,32.63,11,43,31.53,20,41,0.0,0,0,68.42,,620605,32663,84550,9895
Ed Brown,9,0,0.0,15.25,2,38,15.67,7,23,4.89,44,44,,,1890,210,615,50
Ed Camrud,1,0,0.0,,,,7.0,7,7,0.0,0,0,,,150,150,150,150
Ed Cole,26,0,0.0,24.15,14,56,18.15,8,68,0.0,0,0,,,1745,73,150,50
Ed DeWolff,5,0,0.0,,,,29.2,10,63,0.0,0,0,,,120,30,50,10
Ed Ferree,3,0,0.0,32.67,30,35,30.67,27,36,0.0,0,0,71.0,,16900,5633,7425,4035
Ed Fiola,2,0,0.0,14.0,12,16,30.5,12,49,0.0,0,0,,,75,75,75,75
Ed Hale,2,0,0.0,34.0,33,35,22.0,15,29,0.0,0,0,97.0,,3245,1623,2045,1200
Ed Hamanard,1,0,0.0,,,,24.0,24,24,0.0,0,0,,,0,,,
Ed Hessert,22,0,0.0,22.23,7,33,19.55,6,38,0.05,1,1,,,14952,680,1775,100
